pubid,gender97,ethnic97,hh18_97,psmoke97
2205,1,Non-Hispanic,2,3
2206,1,Non-Hispanic,2,1
2207,1,Non-Hispanic,1,3
2208,1,Non-Hispanic,2,.b
2209,1,Non-Hispanic,2,2
2210,1,Non-Hispanic,2,4
2211,1,Non-Hispanic,2,1
2212,1,Non-Hispanic,1,4
2213,1,Non-Hispanic,3,2
2214,1,Non-Hispanic,2,3
2215,1,Non-Hispanic,2,3
2216,2,Non-Hispanic,1,2
2217,2,Non-Hispanic,1,5
2218,1,Non-Hispanic,1,3
2219,2,Non-Hispanic,2,4
2220,1,Non-Hispanic,2,1
2221,1,Non-Hispanic,1,3
2222,2,Non-Hispanic,3,3
2223,2,Non-Hispanic,3,3
2224,1,Non-Hispanic,3,1
2225,1,Non-Hispanic,2,2
2226,1,Non-Hispanic,1,4
2227,1,Non-Hispanic,3,1
2228,1,Non-Hispanic,1,2
2229,1,Non-Hispanic,3,4
2230,1,Non-Hispanic,3,3
2231,2,Hispanic,1,3
2232,2,Non-Hispanic,2,2
2233,1,Non-Hispanic,3,1
2234,1,Non-Hispanic,2,5
2235,1,Non-Hispanic,3,3
2236,2,Non-Hispanic,2,2
2237,1,Non-Hispanic,1,1
2238,1,Non-Hispanic,1,2
2239,2,Non-Hispanic,6,1
2240,2,Non-Hispanic,6,2
2241,1,Non-Hispanic,6,2
2242,1,Hispanic,2,5
2243,2,Hispanic,2,2
2244,2,Non-Hispanic,1,2
2245,2,Non-Hispanic,1,1
2246,1,Non-Hispanic,1,4
2247,2,Hispanic,2,4
2248,2,Non-Hispanic,3,2
2249,2,Non-Hispanic,1,4
2250,1,Non-Hispanic,2,2
2251,1,Non-Hispanic,2,5
2252,1,Non-Hispanic,2,2
2253,1,Non-Hispanic,2,3
2254,1,Non-Hispanic,2,4
2255,1,Non-Hispanic,4,2
2256,1,Non-Hispanic,4,1
2257,1,Non-Hispanic,2,4
2258,2,Non-Hispanic,2,1
2260,2,Non-Hispanic,3,1
2261,1,Non-Hispanic,3,4
2262,1,Non-Hispanic,3,4
2263,2,Non-Hispanic,3,3
2264,1,Non-Hispanic,5,3
2265,2,Non-Hispanic,3,1
2266,1,Non-Hispanic,3,1
2267,1,Non-Hispanic,3,1
2268,2,Non-Hispanic,3,4
2269,1,Non-Hispanic,3,4
2270,2,Non-Hispanic,3,4
2271,2,Non-Hispanic,2,3
2272,1,Non-Hispanic,1,2
2273,1,Non-Hispanic,3,4
2274,1,Hispanic,4,1
2275,1,Non-Hispanic,2,3
2276,1,Non-Hispanic,2,3
2277,2,Hispanic,3,3
2278,1,Hispanic,3,4
2279,1,Non-Hispanic,1,1
2280,2,Hispanic,2,2
2281,1,Non-Hispanic,2,2
2282,1,Non-Hispanic,2,1
2283,2,Non-Hispanic,2,5
2284,2,Non-Hispanic,3,5
2285,1,Hispanic,5,1
2286,2,Non-Hispanic,1,4
2287,2,Non-Hispanic,2,4
2288,1,Non-Hispanic,3,5
2289,1,Non-Hispanic,2,4
2290,1,Non-Hispanic,2,2
2291,1,Non-Hispanic,1,4
2292,1,Non-Hispanic,2,3
2293,2,Non-Hispanic,3,2
2294,1,Non-Hispanic,3,4
2295,1,Non-Hispanic,2,3
2296,1,Non-Hispanic,3,2
2297,1,Non-Hispanic,2,4
2298,2,Non-Hispanic,3,1
2299,2,Non-Hispanic,3,1
2300,1,Non-Hispanic,2,3
2301,1,Non-Hispanic,2,1
2302,1,Non-Hispanic,3,3
2303,1,Non-Hispanic,3,3
2304,2,Non-Hispanic,2,4
2305,1,Non-Hispanic,2,4
2306,1,Non-Hispanic,5,4
2307,2,Non-Hispanic,5,1
2308,1,Non-Hispanic,2,2
2309,1,Non-Hispanic,2,1
2310,1,Non-Hispanic,3,4
2311,2,Non-Hispanic,3,3
2312,1,Non-Hispanic,4,5
2313,1,Non-Hispanic,4,2
2314,1,Non-Hispanic,4,1
2315,1,Non-Hispanic,2,2
2316,1,Non-Hispanic,6,2
2317,2,Non-Hispanic,6,2
2318,2,Non-Hispanic,2,4
2319,1,Non-Hispanic,2,4
2320,2,Non-Hispanic,3,3
2321,2,Non-Hispanic,2,4
2322,2,Non-Hispanic,2,3
2323,2,Non-Hispanic,2,5
2324,2,Non-Hispanic,2,5
2325,1,Non-Hispanic,1,3
2326,1,Non-Hispanic,1,3
2327,1,Non-Hispanic,1,4
2328,1,Non-Hispanic,1,2
2329,1,Non-Hispanic,2,2
2330,1,Non-Hispanic,2,1
2331,1,Non-Hispanic,2,5
2332,2,Non-Hispanic,2,1
2333,1,Non-Hispanic,1,3
2334,2,Non-Hispanic,2,5
2335,2,Non-Hispanic,2,2
2336,2,Non-Hispanic,3,3
2337,2,Non-Hispanic,3,2
2338,1,Non-Hispanic,3,3
2339,2,Non-Hispanic,3,2
2340,2,Non-Hispanic,3,4
2341,1,Non-Hispanic,3,3
2342,1,Non-Hispanic,3,1
2343,2,Non-Hispanic,2,3
2344,2,Non-Hispanic,3,1
2345,2,Non-Hispanic,1,4
2346,1,Non-Hispanic,2,3
2347,2,Non-Hispanic,2,1
2348,2,Non-Hispanic,1,2
2349,1,Non-Hispanic,3,5
2350,1,Non-Hispanic,3,3
2351,2,Non-Hispanic,3,.b
2352,1,Non-Hispanic,1,2
2353,2,Non-Hispanic,1,4
2354,2,Hispanic,3,4
2355,1,Hispanic,3,4
2356,2,Hispanic,2,1
2357,1,Non-Hispanic,4,2
2358,1,Non-Hispanic,4,2
2359,2,Non-Hispanic,1,4
2360,1,Non-Hispanic,3,4
2361,1,Non-Hispanic,2,3
2362,1,Non-Hispanic,4,1
2363,1,Non-Hispanic,2,4
2364,2,Non-Hispanic,2,3
2365,1,Non-Hispanic,2,1
2366,2,Hispanic,2,5
2367,1,Non-Hispanic,2,4
2368,2,Non-Hispanic,2,5
2369,1,Non-Hispanic,1,3
2370,1,Non-Hispanic,1,4
2371,1,Non-Hispanic,3,1
2372,1,Non-Hispanic,1,3
2373,1,Non-Hispanic,4,2
2374,1,Non-Hispanic,4,2
2375,1,Non-Hispanic,4,1
2376,1,Non-Hispanic,1,3
2377,1,Non-Hispanic,3,1
2378,2,Non-Hispanic,4,4
2379,1,Non-Hispanic,4,2
2380,2,Non-Hispanic,4,4
2381,1,Non-Hispanic,3,1
2382,1,Hispanic,2,4
2383,1,Non-Hispanic,2,2
2384,1,Non-Hispanic,2,4
2385,1,Non-Hispanic,2,3
2386,2,Non-Hispanic,5,3
2387,1,Non-Hispanic,5,4
2388,1,Non-Hispanic,5,4
2389,1,Non-Hispanic,4,5
2390,2,Non-Hispanic,4,2
2391,2,Non-Hispanic,4,3
2392,2,Non-Hispanic,2,4
2393,1,Non-Hispanic,2,3
2394,1,Non-Hispanic,2,1
2395,1,Non-Hispanic,2,2
2396,2,Non-Hispanic,1,3
2397,1,Non-Hispanic,3,1
2398,1,Non-Hispanic,3,1
2399,2,Non-Hispanic,3,4
2400,2,Non-Hispanic,3,5
2401,2,Non-Hispanic,3,5
2402,1,Non-Hispanic,1,1
2403,2,Non-Hispanic,2,4
2404,1,Non-Hispanic,2,1
2405,2,Non-Hispanic,2,4
2406,2,Non-Hispanic,2,4
2407,1,Non-Hispanic,2,3
2408,1,Non-Hispanic,2,5
2409,1,Non-Hispanic,4,4
2410,1,Non-Hispanic,4,1
2411,1,Non-Hispanic,4,2
2412,2,Non-Hispanic,1,3
2413,2,Hispanic,3,1
2414,1,Hispanic,1,1
2415,2,Non-Hispanic,2,4
2416,2,Non-Hispanic,2,5
2417,1,Non-Hispanic,1,5
2418,1,Hispanic,5,4
2419,1,Hispanic,5,1
2420,2,Non-Hispanic,2,1
2421,1,Non-Hispanic,2,2
2422,1,Non-Hispanic,2,2
2423,1,Non-Hispanic,2,5
2424,2,Non-Hispanic,2,4
2425,1,Non-Hispanic,1,3
2426,2,Non-Hispanic,3,4
2427,2,Non-Hispanic,1,5
2428,1,Non-Hispanic,2,3
2429,1,Non-Hispanic,2,1
2430,2,Non-Hispanic,4,4
2431,1,Non-Hispanic,3,2
2432,2,Non-Hispanic,2,4
2433,2,Non-Hispanic,2,4
2434,1,Non-Hispanic,2,3
2435,2,Non-Hispanic,2,3
2436,1,Non-Hispanic,2,3
2437,2,Non-Hispanic,2,3
2438,2,Non-Hispanic,1,4
2439,1,Non-Hispanic,1,3
2440,2,Non-Hispanic,2,4
2441,1,Non-Hispanic,2,2
2442,1,Hispanic,3,4
2443,2,Hispanic,3,1
2444,2,Non-Hispanic,1,1
2445,2,Non-Hispanic,4,5
2446,2,Non-Hispanic,4,1
2447,1,Non-Hispanic,1,4
2448,2,Non-Hispanic,1,2
2449,1,Non-Hispanic,2,5
2450,2,Non-Hispanic,2,2
2451,1,Non-Hispanic,1,4
2452,2,Non-Hispanic,2,3
2453,1,Non-Hispanic,2,1
2454,2,Hispanic,3,2
2455,1,Hispanic,3,2
2456,2,Non-Hispanic,3,4
2457,2,Non-Hispanic,3,1
2458,1,Non-Hispanic,1,2
2459,1,Non-Hispanic,3,2
2460,1,Non-Hispanic,3,3
2461,1,Non-Hispanic,3,1
2462,2,Non-Hispanic,3,5
2463,1,Non-Hispanic,3,2
2464,2,Non-Hispanic,4,3
2465,2,Non-Hispanic,4,2
2466,1,Non-Hispanic,2,2
2467,1,Non-Hispanic,3,3
2468,1,Non-Hispanic,3,2
2469,1,Non-Hispanic,2,1
2470,1,Non-Hispanic,2,4
2471,2,Non-Hispanic,1,4
2472,2,Non-Hispanic,2,3
2473,2,Non-Hispanic,3,4
2474,2,Non-Hispanic,3,2
2475,2,Hispanic,3,4
2476,2,Non-Hispanic,3,3
2477,1,Non-Hispanic,2,2
2478,2,Non-Hispanic,2,1
2479,1,Non-Hispanic,2,2
2480,1,Non-Hispanic,2,2
2481,1,Non-Hispanic,1,1
2482,2,Non-Hispanic,2,2
2483,1,Non-Hispanic,2,2
2484,1,Non-Hispanic,2,2
2485,1,Non-Hispanic,1,4
2486,2,Non-Hispanic,1,4
2487,1,Non-Hispanic,2,4
2488,2,Non-Hispanic,2,1
2489,2,Non-Hispanic,1,3
2490,1,Non-Hispanic,3,1
2491,2,Non-Hispanic,3,2
2492,1,Non-Hispanic,2,3
2493,2,Non-Hispanic,4,2
2494,2,Non-Hispanic,4,1
2495,2,Non-Hispanic,1,3
2496,1,Non-Hispanic,2,1
2497,1,Non-Hispanic,2,4
2498,1,Non-Hispanic,4,3
2499,1,Non-Hispanic,4,3
2500,1,Non-Hispanic,4,4
2501,2,Hispanic,2,2
2502,2,Non-Hispanic,1,5
2503,1,Non-Hispanic,1,3
2504,2,Non-Hispanic,2,2
2505,2,Non-Hispanic,2,5
2506,1,Non-Hispanic,2,4
2507,1,Non-Hispanic,1,2
2508,1,Non-Hispanic,2,4
2509,2,Non-Hispanic,3,5
2510,2,Non-Hispanic,3,3
2511,1,Non-Hispanic,1,5
2512,2,Non-Hispanic,3,3
2513,1,Non-Hispanic,2,3
2514,1,Non-Hispanic,3,3
2515,1,Non-Hispanic,3,1
2516,1,Non-Hispanic,2,4
2517,1,Non-Hispanic,2,1
2518,2,Non-Hispanic,3,4
2519,1,Non-Hispanic,3,4
2520,1,Non-Hispanic,2,3
2521,2,Non-Hispanic,2,1
2522,1,Non-Hispanic,2,3
2523,1,Non-Hispanic,2,1
2524,1,Non-Hispanic,2,2
2525,1,Non-Hispanic,2,3
2526,1,Non-Hispanic,2,3
2527,1,Non-Hispanic,1,2
2528,2,Non-Hispanic,1,2
2529,2,Non-Hispanic,1,4
2530,1,Non-Hispanic,2,5
2531,2,Non-Hispanic,2,4
2532,2,Non-Hispanic,3,3
2533,1,Non-Hispanic,2,4
2534,1,Non-Hispanic,2,2
2535,1,Non-Hispanic,3,5
2536,1,Non-Hispanic,3,5
2537,1,Non-Hispanic,3,2
2538,2,Non-Hispanic,1,3
2539,2,Non-Hispanic,2,3
2540,2,Non-Hispanic,3,3
2541,1,Non-Hispanic,3,2
2542,1,Non-Hispanic,3,3
2543,2,Non-Hispanic,3,3
2544,2,Non-Hispanic,2,3
2545,1,Non-Hispanic,1,2
2546,1,Non-Hispanic,2,1
2547,2,Non-Hispanic,2,4
2548,1,Non-Hispanic,2,3
2549,2,Non-Hispanic,2,4
2550,2,Non-Hispanic,2,4
2551,2,Non-Hispanic,1,3
2552,1,Non-Hispanic,2,1
2553,2,Non-Hispanic,1,3
2554,2,Non-Hispanic,1,1
2555,2,Non-Hispanic,2,2
2556,2,Hispanic,1,3
2557,2,Non-Hispanic,2,1
2558,1,Non-Hispanic,1,4
2559,2,Non-Hispanic,2,5
2560,1,Non-Hispanic,2,4
2561,2,Non-Hispanic,2,4
2562,1,Non-Hispanic,2,2
2563,1,Non-Hispanic,4,3
2564,1,Non-Hispanic,2,3
2565,2,Non-Hispanic,3,1
2566,1,Non-Hispanic,3,1
2567,2,Non-Hispanic,1,3
2568,1,Non-Hispanic,2,5
2569,1,Non-Hispanic,2,1
2570,2,Non-Hispanic,2,3
2571,2,Non-Hispanic,2,2
2572,2,Non-Hispanic,2,3
2573,1,Non-Hispanic,2,2
2574,1,Non-Hispanic,2,4
2575,1,Non-Hispanic,4,2
2576,1,Non-Hispanic,4,2
2577,2,Non-Hispanic,2,5
2578,1,Non-Hispanic,3,3
2579,2,Non-Hispanic,2,3
2580,2,Non-Hispanic,2,3
2581,1,Non-Hispanic,3,1
2582,2,Non-Hispanic,1,2
2583,2,Non-Hispanic,1,2
2584,1,Non-Hispanic,2,1
2585,1,Non-Hispanic,4,3
2586,2,Non-Hispanic,2,3
2587,2,Non-Hispanic,3,1
2588,2,Non-Hispanic,3,1
2589,1,Non-Hispanic,1,2
2590,2,Non-Hispanic,2,3
2591,1,Non-Hispanic,3,1
2592,2,Non-Hispanic,1,4
2593,1,Non-Hispanic,2,1
2594,1,Non-Hispanic,1,4
2595,1,Non-Hispanic,2,3
2596,1,Non-Hispanic,4,4
2597,1,Non-Hispanic,4,3
2598,1,Non-Hispanic,1,2
2599,2,Non-Hispanic,2,3
2600,2,Non-Hispanic,2,2
2601,2,Non-Hispanic,2,4
2602,1,Non-Hispanic,2,2
2603,1,Non-Hispanic,2,1
2604,1,Non-Hispanic,3,1
2605,1,Non-Hispanic,2,1
2606,1,Non-Hispanic,1,3
2607,2,Non-Hispanic,3,2
2608,1,Non-Hispanic,3,2
2609,1,Non-Hispanic,2,3
2610,2,Non-Hispanic,1,2
2611,1,Non-Hispanic,3,4
2612,2,Non-Hispanic,3,1
2613,1,Non-Hispanic,1,1
2614,1,Non-Hispanic,4,2
2615,1,Non-Hispanic,6,2
2616,1,Non-Hispanic,1,4
2617,2,Non-Hispanic,2,3
2618,1,Non-Hispanic,3,1
2619,2,Non-Hispanic,1,4
2620,2,Non-Hispanic,1,2
2621,2,Non-Hispanic,1,3
2622,1,Non-Hispanic,2,3
2623,1,Non-Hispanic,2,2
2624,1,Non-Hispanic,1,2
2625,2,Non-Hispanic,4,3
2626,2,Non-Hispanic,4,2
2627,1,Non-Hispanic,1,1
2628,1,Non-Hispanic,2,3
2629,1,Non-Hispanic,5,2
2630,1,Non-Hispanic,5,1
2631,1,Non-Hispanic,5,1
2632,2,Non-Hispanic,1,5
2633,1,Non-Hispanic,3,1
2634,2,Non-Hispanic,2,2
2635,2,Non-Hispanic,2,2
2636,2,Non-Hispanic,2,1
2637,1,Non-Hispanic,2,2
2638,2,Non-Hispanic,1,3
2639,2,Non-Hispanic,2,2
2640,2,Non-Hispanic,2,1
2641,1,Non-Hispanic,1,5
2642,2,Non-Hispanic,2,3
2643,1,Non-Hispanic,2,4
2644,1,Non-Hispanic,3,2
2645,2,Non-Hispanic,2,4
2648,1,Non-Hispanic,2,3
2649,1,Non-Hispanic,3,5
2650,2,Non-Hispanic,3,1
2651,1,Non-Hispanic,1,4
2652,1,Non-Hispanic,2,1
2653,2,Non-Hispanic,1,4
2654,2,Non-Hispanic,3,4
2655,2,Non-Hispanic,3,4
2656,2,Non-Hispanic,3,5
2657,2,Non-Hispanic,3,4
2658,1,Non-Hispanic,2,2
2659,2,Non-Hispanic,1,4
2660,1,Non-Hispanic,4,4
2661,1,Non-Hispanic,4,2
2662,1,Non-Hispanic,2,2
2663,2,Non-Hispanic,2,4
2664,2,Non-Hispanic,2,2
2665,1,Non-Hispanic,2,1
2666,1,Non-Hispanic,2,1
2667,2,Non-Hispanic,2,1
2668,1,Non-Hispanic,3,3
2669,2,Non-Hispanic,2,4
2670,2,Non-Hispanic,3,1
2671,2,Non-Hispanic,4,4
2672,2,Non-Hispanic,2,4
2673,1,Non-Hispanic,2,3
2674,2,Non-Hispanic,2,2
2675,2,Non-Hispanic,2,1
2676,1,Non-Hispanic,2,1
2677,1,Non-Hispanic,2,1
2678,1,Non-Hispanic,2,1
2679,2,Non-Hispanic,1,4
2680,2,Non-Hispanic,1,3
2681,2,Non-Hispanic,1,3
2682,1,Non-Hispanic,3,3
2683,1,Non-Hispanic,3,2
2684,2,Non-Hispanic,3,1
2685,2,Non-Hispanic,1,4
2686,2,Non-Hispanic,2,4
2687,2,Non-Hispanic,2,4
2688,1,Non-Hispanic,1,2
2689,1,Non-Hispanic,4,3
2690,1,Non-Hispanic,4,3
2691,2,Non-Hispanic,3,1
2692,1,Non-Hispanic,2,2
2693,1,Non-Hispanic,2,1
2694,1,Non-Hispanic,3,4
2695,1,Non-Hispanic,3,5
2696,1,Non-Hispanic,3,4
2697,1,Non-Hispanic,2,4
2698,2,Non-Hispanic,3,2
2699,2,Non-Hispanic,2,1
2700,1,Non-Hispanic,2,1
2701,1,Non-Hispanic,1,4
2702,1,Non-Hispanic,1,1
2703,1,Non-Hispanic,3,2
2704,1,Non-Hispanic,1,2
2705,2,Non-Hispanic,1,2
2706,1,Non-Hispanic,4,2
2707,2,Non-Hispanic,4,2
2708,2,Non-Hispanic,4,1
2709,2,Non-Hispanic,4,4
2710,1,Non-Hispanic,4,1
2711,1,Non-Hispanic,3,1
2712,2,Non-Hispanic,2,1
2713,1,Non-Hispanic,2,1
2714,1,Non-Hispanic,3,1
2715,1,Non-Hispanic,1,4
2716,1,Non-Hispanic,1,1
2717,2,Non-Hispanic,4,3
2718,2,Non-Hispanic,4,5
2719,1,Non-Hispanic,4,2
2720,2,Non-Hispanic,4,4
2721,1,Non-Hispanic,4,2
2722,2,Non-Hispanic,2,4
2723,2,Non-Hispanic,3,1
2724,2,Non-Hispanic,2,3
2725,2,.b,3,1
2726,2,Non-Hispanic,1,3
2727,1,Hispanic,2,2
2728,1,Non-Hispanic,2,1
2729,2,Non-Hispanic,2,.b
2730,1,Non-Hispanic,1,2
2731,1,Non-Hispanic,3,2
2732,1,Non-Hispanic,1,2
2733,1,Non-Hispanic,1,3
2734,2,Non-Hispanic,5,1
2735,1,Hispanic,5,1
2736,1,Non-Hispanic,5,1
2737,1,Non-Hispanic,3,2
2738,1,Non-Hispanic,3,1
2739,2,Non-Hispanic,2,4
2740,2,Non-Hispanic,1,5
2741,1,Non-Hispanic,1,1
2742,1,Non-Hispanic,2,3
2743,1,Non-Hispanic,2,3
2744,2,Non-Hispanic,1,1
2745,2,Non-Hispanic,2,4
2746,2,Hispanic,3,2
2747,1,Non-Hispanic,1,3
2748,2,Non-Hispanic,1,1
2749,2,Non-Hispanic,3,4
2750,2,Non-Hispanic,3,2
2751,2,Non-Hispanic,1,1
2752,1,Non-Hispanic,2,4
2753,1,Non-Hispanic,2,2
2754,2,Non-Hispanic,4,2
2755,1,Non-Hispanic,4,2
2756,1,Non-Hispanic,2,1
2757,2,Non-Hispanic,2,1
2758,1,Non-Hispanic,1,2
2759,1,Non-Hispanic,2,.b
2760,2,Non-Hispanic,2,3
2761,1,Non-Hispanic,1,4
2762,1,Non-Hispanic,2,4
2763,2,Non-Hispanic,2,1
2764,2,Non-Hispanic,4,2
2765,1,Non-Hispanic,1,2
2766,1,Non-Hispanic,1,3
2767,2,Non-Hispanic,2,4
2768,2,Non-Hispanic,3,2
2769,2,Non-Hispanic,1,3
2770,2,Non-Hispanic,1,3
2771,2,Non-Hispanic,1,5
2772,2,Non-Hispanic,1,3
2773,1,Non-Hispanic,2,3
2774,1,Non-Hispanic,2,2
2775,1,Non-Hispanic,4,2
2776,1,Non-Hispanic,4,1
2777,2,Non-Hispanic,3,2
2778,1,Non-Hispanic,3,2
2779,1,Non-Hispanic,2,2
2780,2,Non-Hispanic,2,4
2781,2,Non-Hispanic,1,5
2782,2,Non-Hispanic,1,3
2783,2,Non-Hispanic,1,3
2784,2,Non-Hispanic,3,5
2785,2,Non-Hispanic,3,3
2786,1,Non-Hispanic,3,1
2787,2,Non-Hispanic,2,2
2788,1,Non-Hispanic,2,3
2789,1,Non-Hispanic,3,3
2790,1,Non-Hispanic,3,3
2791,1,Non-Hispanic,3,1
2792,2,Non-Hispanic,1,2
2793,2,Non-Hispanic,1,2
2794,1,Non-Hispanic,1,3
2795,1,Non-Hispanic,2,4
2796,2,Non-Hispanic,2,2
2797,2,Non-Hispanic,1,5
2798,1,Non-Hispanic,3,2
2799,1,Non-Hispanic,2,5
2800,1,Non-Hispanic,2,5
2801,2,Non-Hispanic,1,3
2802,2,Non-Hispanic,2,2
2803,2,Non-Hispanic,2,3
2804,2,Non-Hispanic,2,3
2805,2,Non-Hispanic,1,4
2806,2,Non-Hispanic,3,4
2807,1,Non-Hispanic,3,4
2808,1,Non-Hispanic,1,4
2809,2,Non-Hispanic,9,3
2810,1,Non-Hispanic,9,4
2811,2,Non-Hispanic,4,1
2812,2,Non-Hispanic,1,4
2813,1,Non-Hispanic,2,4
2814,1,Non-Hispanic,4,5
2815,2,Non-Hispanic,4,.b
2816,2,Non-Hispanic,4,2
2817,2,Non-Hispanic,1,3
2818,2,Non-Hispanic,4,1
2819,1,Non-Hispanic,2,3
2820,2,Non-Hispanic,2,1
2821,2,Non-Hispanic,1,3
2822,1,Non-Hispanic,2,2
2823,1,Non-Hispanic,1,5
2824,2,Non-Hispanic,3,2
2825,1,Non-Hispanic,3,2
2826,2,Non-Hispanic,3,1
2827,2,Non-Hispanic,4,1
2828,2,Non-Hispanic,2,5
2829,1,Non-Hispanic,1,5
2830,1,Non-Hispanic,1,2
2831,1,Non-Hispanic,4,5
2832,2,Non-Hispanic,4,3
2833,1,Non-Hispanic,2,1
2834,2,Non-Hispanic,1,3
2835,1,Non-Hispanic,1,3
2836,2,Non-Hispanic,3,3
2837,2,Non-Hispanic,3,2
2838,2,Non-Hispanic,1,3
2839,2,Non-Hispanic,1,3
2840,2,Non-Hispanic,3,1
2841,2,Non-Hispanic,3,1
2842,2,Non-Hispanic,2,4
2843,2,Non-Hispanic,2,4
2844,2,Non-Hispanic,2,2
2845,2,Non-Hispanic,1,4
2846,1,Non-Hispanic,1,4
2847,2,Non-Hispanic,2,2
2848,2,Non-Hispanic,2,4
2849,2,Non-Hispanic,2,3
2850,1,Non-Hispanic,2,4
2851,1,Non-Hispanic,2,2
2852,2,Non-Hispanic,4,1
2853,2,Non-Hispanic,1,4
2854,1,Non-Hispanic,2,5
2855,2,Non-Hispanic,3,1
2856,2,Non-Hispanic,3,3
2857,1,Non-Hispanic,1,4
2858,1,Non-Hispanic,1,5
2859,2,Non-Hispanic,1,3
2860,1,Non-Hispanic,2,5
2861,2,Non-Hispanic,2,5
2862,1,Non-Hispanic,2,4
2863,1,Non-Hispanic,2,3
2864,2,Non-Hispanic,1,5
2865,2,Non-Hispanic,3,3
2866,1,Non-Hispanic,2,4
2867,1,Non-Hispanic,2,2
2868,1,Non-Hispanic,3,4
2869,2,Non-Hispanic,1,2
2870,2,Non-Hispanic,4,1
2871,1,Non-Hispanic,3,3
2872,1,Non-Hispanic,3,4
2873,1,Non-Hispanic,1,3
2874,1,Non-Hispanic,2,3
2875,1,Non-Hispanic,1,1
2876,1,Non-Hispanic,4,2
2877,2,Non-Hispanic,4,1
2878,2,Non-Hispanic,3,1
2879,2,Non-Hispanic,3,1
2880,1,Non-Hispanic,3,1
2881,1,Non-Hispanic,1,3
2882,1,Non-Hispanic,5,3
2883,1,Non-Hispanic,5,1
2884,1,Non-Hispanic,1,1
2885,2,Non-Hispanic,2,5
2886,1,Non-Hispanic,1,1
2887,2,Non-Hispanic,4,3
2888,1,Non-Hispanic,2,1
2889,2,Non-Hispanic,5,4
2890,1,Non-Hispanic,5,4
2891,1,Non-Hispanic,5,1
2892,2,Non-Hispanic,1,3
2893,1,Non-Hispanic,1,3
2894,2,Non-Hispanic,1,4
2895,1,Non-Hispanic,1,3
2896,1,Non-Hispanic,2,3
2897,1,Non-Hispanic,2,2
2898,1,Non-Hispanic,2,1
2899,1,Non-Hispanic,1,2
2900,1,Non-Hispanic,1,2
2901,1,Non-Hispanic,3,4
2902,2,Non-Hispanic,2,1
2903,2,Hispanic,3,3
2904,1,Non-Hispanic,1,2
2905,2,Non-Hispanic,3,4
2906,1,Non-Hispanic,3,1
2907,1,Non-Hispanic,1,2
2908,1,Non-Hispanic,3,3
2909,2,Non-Hispanic,4,3
2910,1,Non-Hispanic,1,4
2911,1,Non-Hispanic,3,5
2912,2,Non-Hispanic,3,3
2913,2,Non-Hispanic,3,4
2914,2,Non-Hispanic,1,3
2915,1,Non-Hispanic,2,3
2916,1,Non-Hispanic,1,4
2917,1,Non-Hispanic,2,4
2918,1,Non-Hispanic,4,2
2919,1,Non-Hispanic,4,1
2920,1,Non-Hispanic,1,2
2921,1,Non-Hispanic,3,4
2922,2,Non-Hispanic,3,2
2923,1,Non-Hispanic,2,1
2924,2,Non-Hispanic,3,3
2925,1,Non-Hispanic,3,1
2926,1,Non-Hispanic,1,3
2927,2,Non-Hispanic,1,4
2928,2,Non-Hispanic,6,4
2929,2,Non-Hispanic,6,2
2930,1,Non-Hispanic,6,1
2931,1,Hispanic,2,1
2932,2,Non-Hispanic,3,3
2933,2,Non-Hispanic,3,5
2934,2,Non-Hispanic,2,4
2935,2,Non-Hispanic,2,1
2936,2,Non-Hispanic,2,5
2937,2,Non-Hispanic,1,1
2938,1,Non-Hispanic,3,2
2939,1,Non-Hispanic,3,1
2940,2,Non-Hispanic,3,3
2941,1,Non-Hispanic,3,1
2942,2,Non-Hispanic,2,1
2943,2,Non-Hispanic,2,2
2944,2,Non-Hispanic,2,1
2945,1,Non-Hispanic,2,2
2946,2,Non-Hispanic,2,1
2947,1,Non-Hispanic,2,4
2948,2,Non-Hispanic,2,2
2949,1,Non-Hispanic,2,2
2950,1,Non-Hispanic,3,4
2951,1,Non-Hispanic,3,2
2952,2,Non-Hispanic,3,2
2953,2,Non-Hispanic,2,4
2954,1,Non-Hispanic,2,3
2955,1,Non-Hispanic,3,1
2956,2,Non-Hispanic,2,5
2957,1,Non-Hispanic,2,3
2958,2,Non-Hispanic,1,5
2959,1,Non-Hispanic,3,5
2960,1,Hispanic,4,2
2961,2,Non-Hispanic,1,4
2962,2,Non-Hispanic,1,5
2963,1,Non-Hispanic,2,5
2964,1,Non-Hispanic,3,5
2965,1,Non-Hispanic,2,3
2966,2,Hispanic,3,1
2967,1,Non-Hispanic,3,1
2968,1,Non-Hispanic,2,1
2969,1,Non-Hispanic,2,1
2970,2,Non-Hispanic,2,4
2971,1,Hispanic,1,3
2972,1,Non-Hispanic,2,5
2973,1,Non-Hispanic,2,3
2974,2,Non-Hispanic,2,3
2975,1,Non-Hispanic,1,1
2976,1,Non-Hispanic,1,1
2977,1,Non-Hispanic,3,2
2978,1,Non-Hispanic,2,2
2979,1,Non-Hispanic,1,3
2980,1,Non-Hispanic,1,3
2981,1,Non-Hispanic,2,1
2982,2,Non-Hispanic,3,4
2983,1,Non-Hispanic,2,3
2984,1,Non-Hispanic,3,1
2985,2,Non-Hispanic,3,1
2986,2,Non-Hispanic,1,2
2987,2,Non-Hispanic,2,2
2988,1,Non-Hispanic,2,3
