pubid,gender97,ethnic97,hh18_97,psmoke97
195,1,Non-Hispanic,1,3
196,1,Hispanic,1,1
197,2,Non-Hispanic,2,3
198,2,Non-Hispanic,2,4
199,1,Non-Hispanic,1,1
200,1,Non-Hispanic,1,3
201,2,Non-Hispanic,1,2
202,1,Non-Hispanic,2,1
203,2,Non-Hispanic,2,2
204,2,Non-Hispanic,2,5
205,2,Non-Hispanic,2,4
206,1,Non-Hispanic,3,4
207,2,Non-Hispanic,5,3
208,2,Non-Hispanic,5,1
209,1,Hispanic,3,3
210,1,Hispanic,3,1
211,2,Hispanic,1,1
212,1,Hispanic,2,3
213,2,Hispanic,2,1
214,2,Hispanic,3,4
215,1,Hispanic,3,3
216,2,Hispanic,2,4
217,2,Hispanic,1,2
218,1,Hispanic,1,1
219,1,Non-Hispanic,1,2
220,1,Non-Hispanic,4,1
221,2,Non-Hispanic,2,1
222,1,Hispanic,2,4
223,1,Hispanic,2,4
224,2,Non-Hispanic,2,4
225,1,Non-Hispanic,1,4
226,2,Non-Hispanic,3,5
227,2,Non-Hispanic,2,5
228,1,Non-Hispanic,3,1
229,2,Non-Hispanic,1,1
230,1,Hispanic,2,3
231,1,Hispanic,2,3
232,1,Hispanic,1,2
233,1,Hispanic,1,4
234,2,Hispanic,5,2
235,2,Non-Hispanic,2,4
236,2,Hispanic,1,.b
237,1,Non-Hispanic,2,1
238,2,Non-Hispanic,1,3
239,1,Non-Hispanic,3,4
240,2,Non-Hispanic,3,1
241,2,Hispanic,3,4
242,1,Hispanic,3,1
243,2,.a,2,3
244,1,Hispanic,3,1
245,2,Non-Hispanic,3,1
246,1,Hispanic,4,4
247,1,Non-Hispanic,2,4
248,2,Non-Hispanic,2,4
249,1,Non-Hispanic,1,3
250,1,Non-Hispanic,2,4
251,1,Hispanic,2,4
252,2,Hispanic,2,1
253,2,Non-Hispanic,2,1
254,1,Non-Hispanic,2,2
255,2,Non-Hispanic,2,4
256,1,Non-Hispanic,3,3
257,1,Non-Hispanic,3,3
258,1,Non-Hispanic,1,3
259,1,Non-Hispanic,1,2
260,1,Non-Hispanic,3,3
261,1,Non-Hispanic,2,4
262,1,Non-Hispanic,3,4
263,1,Non-Hispanic,3,1
264,1,Non-Hispanic,1,3
265,1,Hispanic,5,1
266,2,Non-Hispanic,3,4
267,2,Non-Hispanic,1,4
268,1,Hispanic,3,1
269,2,Non-Hispanic,2,1
270,2,Non-Hispanic,2,3
271,2,Non-Hispanic,1,4
272,2,Hispanic,3,4
273,2,Hispanic,3,3
274,2,Hispanic,6,4
275,1,Hispanic,6,1
276,2,Hispanic,6,3
277,1,Hispanic,6,1
278,1,Non-Hispanic,2,3
279,1,Non-Hispanic,2,3
280,1,Non-Hispanic,2,2
281,1,Non-Hispanic,3,1
282,1,Non-Hispanic,2,3
283,1,Non-Hispanic,2,1
284,2,Non-Hispanic,4,5
285,1,Non-Hispanic,2,4
286,2,Non-Hispanic,1,2
287,1,Non-Hispanic,3,5
288,2,Non-Hispanic,3,3
289,2,Non-Hispanic,3,3
290,2,Non-Hispanic,2,1
291,2,Non-Hispanic,1,5
292,2,Non-Hispanic,3,5
293,2,Hispanic,3,5
294,1,Hispanic,3,3
295,2,Hispanic,3,1
296,2,Hispanic,2,5
297,1,Hispanic,2,1
298,2,Non-Hispanic,3,4
299,1,Non-Hispanic,1,5
300,2,Non-Hispanic,3,4
301,2,Non-Hispanic,2,3
302,2,Non-Hispanic,2,3
303,2,Non-Hispanic,1,4
304,1,Non-Hispanic,3,2
305,2,Non-Hispanic,2,1
306,2,Non-Hispanic,5,1
307,2,Non-Hispanic,5,1
308,1,Non-Hispanic,5,1
309,2,Non-Hispanic,5,1
310,2,Non-Hispanic,5,1
311,1,Non-Hispanic,3,3
312,2,Non-Hispanic,3,4
313,2,Non-Hispanic,3,3
314,1,Non-Hispanic,3,3
315,2,Non-Hispanic,1,5
316,1,Non-Hispanic,2,3
317,2,Hispanic,2,5
318,1,Non-Hispanic,3,1
319,2,Non-Hispanic,2,2
320,2,Non-Hispanic,1,3
321,1,Non-Hispanic,1,5
322,2,Non-Hispanic,2,2
323,1,Non-Hispanic,1,3
324,1,Non-Hispanic,1,4
325,1,Non-Hispanic,1,1
326,2,Non-Hispanic,1,4
327,2,Non-Hispanic,1,1
328,1,Non-Hispanic,3,1
329,1,Non-Hispanic,2,1
330,1,Non-Hispanic,1,4
331,2,Non-Hispanic,2,4
332,1,Non-Hispanic,3,2
333,2,Non-Hispanic,3,1
334,2,Non-Hispanic,3,1
335,2,Non-Hispanic,2,2
336,1,Non-Hispanic,2,2
337,1,Non-Hispanic,3,1
338,2,Non-Hispanic,1,3
339,2,Non-Hispanic,3,2
340,1,Non-Hispanic,3,1
341,1,Non-Hispanic,3,1
342,1,Non-Hispanic,4,1
343,1,Non-Hispanic,4,2
344,1,Non-Hispanic,4,1
345,1,Non-Hispanic,4,3
346,1,Hispanic,3,2
347,1,Hispanic,3,1
348,1,Hispanic,3,1
349,1,Hispanic,3,1
350,1,Non-Hispanic,1,1
351,2,Hispanic,3,3
352,2,Hispanic,3,3
353,2,Hispanic,3,2
354,2,Hispanic,2,1
355,2,Hispanic,2,3
356,2,Hispanic,1,4
357,1,Hispanic,3,2
358,1,Hispanic,3,1
359,2,Hispanic,3,2
360,1,Hispanic,2,1
361,1,Hispanic,1,2
362,2,Hispanic,2,1
363,2,Hispanic,2,1
364,2,Hispanic,3,2
365,2,Hispanic,3,3
366,2,Hispanic,3,2
367,1,Hispanic,3,3
368,2,Hispanic,2,3
369,1,Hispanic,2,1
370,1,Hispanic,2,2
371,2,Hispanic,2,3
372,1,Hispanic,2,3
373,2,Hispanic,2,1
374,2,Non-Hispanic,1,3
375,1,Non-Hispanic,1,1
376,1,Non-Hispanic,1,3
377,2,Non-Hispanic,4,1
378,1,Non-Hispanic,1,1
379,2,Hispanic,1,3
380,1,Non-Hispanic,1,2
381,1,Hispanic,2,.d
382,2,Non-Hispanic,2,2
383,2,Non-Hispanic,1,1
384,1,Hispanic,2,1
385,1,Hispanic,2,3
386,1,Hispanic,3,2
387,2,Hispanic,3,2
388,2,Hispanic,2,2
389,2,Non-Hispanic,2,2
390,2,Non-Hispanic,2,3
391,1,Non-Hispanic,2,3
392,1,Hispanic,1,2
393,1,Hispanic,5,1
394,1,Hispanic,5,1
395,1,Non-Hispanic,2,1
396,1,Non-Hispanic,2,3
397,1,Hispanic,2,4
398,1,Hispanic,1,3
399,1,Non-Hispanic,4,4
400,2,Non-Hispanic,4,4
401,1,Non-Hispanic,1,1
402,2,Non-Hispanic,2,1
403,2,Non-Hispanic,1,1
404,1,Non-Hispanic,8,2
405,1,Non-Hispanic,8,2
406,2,Non-Hispanic,8,1
407,2,Hispanic,1,3
408,1,Non-Hispanic,1,1
409,2,Non-Hispanic,2,3
410,1,Hispanic,3,3
411,2,Hispanic,3,.b
412,1,Hispanic,3,2
413,1,Non-Hispanic,1,2
414,2,Non-Hispanic,1,3
415,2,Non-Hispanic,2,4
416,2,Non-Hispanic,1,2
417,2,Non-Hispanic,1,5
418,1,Non-Hispanic,2,3
419,1,Non-Hispanic,1,1
420,1,Non-Hispanic,2,2
421,1,Non-Hispanic,1,1
422,1,Non-Hispanic,2,3
423,2,Non-Hispanic,2,2
424,2,Hispanic,2,2
425,2,Non-Hispanic,2,3
426,2,Hispanic,1,1
427,1,Hispanic,3,2
428,2,Hispanic,3,2
429,1,Non-Hispanic,2,1
430,1,Non-Hispanic,2,1
431,2,Hispanic,3,2
432,1,Hispanic,3,4
433,2,Hispanic,3,1
434,1,Non-Hispanic,2,4
435,2,Hispanic,1,2
436,2,Hispanic,2,3
437,2,Hispanic,3,2
438,1,Hispanic,3,1
439,2,Hispanic,3,2
440,1,Hispanic,3,2
441,1,Hispanic,3,3
442,2,Hispanic,1,2
443,1,Hispanic,2,1
444,2,Hispanic,2,1
445,1,Hispanic,2,3
446,1,Hispanic,1,2
447,2,Hispanic,2,3
448,2,Hispanic,2,1
449,2,Hispanic,3,1
450,2,Hispanic,6,3
451,1,Hispanic,6,4
452,2,Hispanic,6,1
453,2,Hispanic,6,4
454,1,Hispanic,2,1
455,1,Hispanic,2,1
456,1,Hispanic,4,1
457,1,Hispanic,5,1
458,1,Hispanic,5,1
459,2,Hispanic,1,1
460,2,Hispanic,4,1
461,2,Hispanic,4,1
462,2,Hispanic,6,1
463,1,Hispanic,6,1
464,2,Hispanic,2,4
465,2,Hispanic,2,3
466,1,Hispanic,3,1
467,2,Hispanic,4,1
468,2,Hispanic,3,4
469,2,Hispanic,3,2
470,2,Hispanic,1,2
471,1,Hispanic,4,5
472,2,Hispanic,4,.b
473,2,Hispanic,1,4
474,2,Hispanic,4,1
475,1,Hispanic,1,3
476,1,Non-Hispanic,1,1
477,2,Hispanic,2,4
478,2,Non-Hispanic,3,2
479,2,Hispanic,2,2
480,2,Hispanic,6,3
481,1,Hispanic,6,1
482,1,Non-Hispanic,2,1
483,1,Hispanic,2,2
484,2,Hispanic,2,2
485,1,Non-Hispanic,1,2
486,2,Non-Hispanic,2,4
487,1,Non-Hispanic,2,1
488,2,Non-Hispanic,2,5
489,2,Non-Hispanic,1,2
490,1,Non-Hispanic,2,1
491,1,Non-Hispanic,2,1
492,2,Non-Hispanic,1,2
493,1,Non-Hispanic,4,2
494,2,Hispanic,2,2
495,1,Hispanic,2,1
496,1,Hispanic,3,1
497,2,Non-Hispanic,3,3
498,2,Non-Hispanic,3,2
499,2,Hispanic,1,4
500,1,Non-Hispanic,4,4
501,1,Non-Hispanic,4,3
502,1,Non-Hispanic,4,2
503,1,Non-Hispanic,3,1
504,2,Non-Hispanic,3,1
505,1,Hispanic,1,1
506,1,Non-Hispanic,1,2
507,2,Non-Hispanic,3,1
508,1,Hispanic,1,1
509,2,Non-Hispanic,1,1
510,1,Hispanic,2,4
511,1,Hispanic,4,2
512,2,Hispanic,4,1
513,1,Hispanic,4,1
514,2,Hispanic,1,1
515,2,Hispanic,5,2
516,1,Hispanic,5,1
517,1,Hispanic,3,3
518,2,Hispanic,3,1
519,2,Hispanic,2,3
520,1,Hispanic,3,2
521,1,Hispanic,3,2
522,1,Hispanic,1,1
523,2,Non-Hispanic,1,4
524,1,Hispanic,1,3
525,1,Hispanic,2,4
526,1,Hispanic,2,3
527,1,Non-Hispanic,2,3
528,2,Non-Hispanic,2,3
529,2,Hispanic,6,2
530,2,Non-Hispanic,2,2
531,2,Hispanic,5,1
532,2,Hispanic,5,1
533,2,Non-Hispanic,2,1
534,2,Hispanic,1,4
535,2,Non-Hispanic,2,3
536,1,Hispanic,5,2
537,1,Non-Hispanic,3,4
538,2,Non-Hispanic,3,4
539,1,Hispanic,2,2
540,2,Hispanic,2,2
541,2,Hispanic,5,2
542,2,Non-Hispanic,1,2
543,1,Hispanic,1,3
544,1,Non-Hispanic,1,1
545,1,Non-Hispanic,1,3
546,1,Non-Hispanic,1,1
547,1,Non-Hispanic,1,1
548,2,Non-Hispanic,1,3
549,1,Non-Hispanic,1,4
550,1,Non-Hispanic,1,1
551,1,Non-Hispanic,1,2
552,1,Non-Hispanic,3,3
553,1,Non-Hispanic,3,2
554,1,Non-Hispanic,3,3
555,1,Non-Hispanic,1,1
556,2,Non-Hispanic,5,3
557,2,Hispanic,2,3
558,1,Non-Hispanic,1,1
559,2,Non-Hispanic,1,3
560,2,Non-Hispanic,2,3
561,1,Non-Hispanic,2,1
562,2,Hispanic,2,1
563,1,Non-Hispanic,2,4
564,1,Non-Hispanic,1,1
565,1,Hispanic,2,3
566,2,Hispanic,1,2
567,1,Non-Hispanic,2,4
568,1,Non-Hispanic,2,3
569,1,Non-Hispanic,3,3
570,2,Non-Hispanic,3,2
571,1,Non-Hispanic,2,3
572,1,Non-Hispanic,2,3
573,2,Hispanic,7,3
574,2,Hispanic,7,4
575,1,Non-Hispanic,2,4
576,1,Non-Hispanic,2,3
577,1,Non-Hispanic,2,2
578,1,Non-Hispanic,3,2
579,2,Non-Hispanic,2,2
580,1,Non-Hispanic,2,2
581,1,Non-Hispanic,3,4
582,2,Non-Hispanic,3,1
583,2,Non-Hispanic,3,4
584,2,Non-Hispanic,5,3
585,2,Non-Hispanic,5,2
586,1,Hispanic,3,3
587,2,Hispanic,3,1
588,1,Non-Hispanic,4,5
589,1,Non-Hispanic,4,2
