iv,ec,caseid,south,dem,te,cut_hi,_st,_d,_t,_t0
.69,.61618102,522,0,0,26,0,1,0,26,0
.67000002,.460042,4206,1,0,53,0,1,0,53,26
.95999998,.031463001,1401,0,1,64,0,1,0,64,53
.81,.105473,4203,1,0,26,0,1,0,26,0
.75999999,.319552,3906,1,1,76,0,1,0,76,65
.72000003,.62244898,3332,0,1,89,0,1,0,89,78
.81999999,.28299499,1801,0,0,26,0,1,0,26,0
.77999997,.38247201,3705,0,0,70,0,1,0,70,65
.81999999,.28066701,1801,0,0,40,0,1,0,40,26
.95999998,.018183,1401,0,1,26,0,1,0,26,0
.73000002,.29371199,908,1,0,26,0,1,0,26,0
.75999999,.29576901,3906,1,1,65,0,1,0,65,53
.67000002,.51440501,2607,1,1,71,0,1,0,71,65
.93000001,.071492001,3702,0,1,72,0,1,0,72,65
.77999997,.23983,1005,1,1,65,0,1,0,65,53
.77999997,.35601199,3705,0,0,53,0,1,0,53,26
.77999997,.34777901,3705,0,0,26,0,1,0,26,0
.75999999,.274854,4106,1,1,26,0,1,0,26,0
.77999997,.213257,1005,1,1,69,0,1,0,69,65
.75999999,.26048201,3906,1,1,53,0,1,0,53,26
.85000002,.241273,3421,0,1,71,0,1,0,71,65
.93000001,.041285001,3318,0,1,65,0,1,0,65,53
.72000003,.468606,3402,0,0,71,0,1,0,71,65
.93000001,.033199001,3318,0,1,53,0,1,0,53,26
.93000001,.032648999,3702,0,1,53,0,1,0,53,26
.69,.42478701,916,1,1,78,0,1,0,78,65
.77999997,.40534201,1905,0,1,65,0,1,0,65,53
.91000003,.080932997,2101,0,1,26,0,1,0,26,0
.72000003,.54895401,3332,0,1,78,0,1,0,78,65
.77999997,.309542,3705,0,0,65,0,1,0,65,53
.93000001,.021032,3312,0,1,78,0,1,0,78,65
.69,.413495,916,1,1,88,0,1,0,88,78
.93000001,.01998,3318,0,1,78,0,1,0,78,65
.93000001,.019562,3312,0,1,26,0,1,0,26,0
.93000001,.019556999,3312,0,1,89,0,1,0,89,78
.63,.559048,1010,1,1,56,0,1,0,56,53
.93000001,.016376,3312,0,1,53,0,1,0,53,26
.77999997,.390277,1905,0,1,67,0,1,0,67,65
.93000001,.01386,3312,0,1,65,0,1,0,65,53
.85000002,.212559,3421,0,1,26,0,1,0,26,0
.93000001,.012411,3318,0,1,89,0,1,0,89,78
