iv,ec,caseid,south,dem,te,cut_hi,_st,_d,_t,_t0
.69999999,.271355,2201,0,1,78,0,1,0,78,65
.70999998,.15674201,543,0,0,65,0,1,0,65,53
.72000003,.13173001,3324,0,0,46,0,1,0,46,26
.69999999,.065181002,4220,1,1,53,0,1,0,53,26
.75,.056632999,3326,0,0,65,0,1,0,65,53
.63999999,.42002299,1419,0,1,26,0,1,0,26,0
.75999999,.120638,3701,0,1,26,0,1,0,26,0
.75,.055039,3326,0,0,78,0,1,0,78,65
.73000002,.104534,1414,0,0,53,0,1,0,53,26
.69999999,.268646,2201,0,1,65,0,1,0,65,53
.69999999,.178615,3011,0,0,65,0,1,0,65,53
.67000002,.047518998,4219,1,0,26,0,1,0,26,0
.73000002,.10345,1414,0,0,26,0,1,0,26,0
.69999999,.267277,2117,0,1,84,0,1,0,84,78
.72000003,.21624599,2204,0,1,65,0,1,0,65,53
