id,hrs1,wrkslf,age,educ,paeduc,maeduc,sex,polviews,sei,pasei,masei
436,35,self-employed,45,19,,12,male,extremely liberal,69.699997,,50.700001
437,50,self-employed,60,19,18,16,male,extremely liberal,63.5,75.199997,
438,40,someone else,24,13,11,10,female,,37.700001,39.400002,
439,,someone else,34,11,12,12,female,,44.299999,,50.5
440,40,someone else,51,16,16,12,female,,85.099998,,
441,,self-employed,33,18,14,16,female,liberal,72.5,63.5,78.5
442,36,self-employed,43,11,,,female,,29.299999,48.799999,50.700001
443,68,someone else,26,12,,,female,,36.5,32.299999,26.4
444,48,someone else,65,14,12,,female,slghtly conservative,29.299999,50.700001,
445,45,someone else,41,12,16,12,male,moderate,39.400002,63.200001,
446,,someone else,56,14,,3,female,,,,
447,40,someone else,55,6,,,female,,33.099998,,22.5
448,40,someone else,47,,,0,male,moderate,28.4,,
449,50,someone else,47,20,17,17,female,moderate,92.300003,92.300003,86.800003
450,,someone else,89,17,,,female,liberal,80.300003,50.700001,
451,,someone else,54,19,20,20,female,,85.099998,87.400002,
452,35,someone else,43,16,20,16,female,slightly liberal,63.5,92.300003,
453,65,someone else,37,16,,12,male,slghtly conservative,50.700001,,
454,,someone else,83,20,12,12,female,liberal,82.699997,63.5,
455,60,self-employed,62,16,12,13,female,,75.199997,45.900002,62.5
456,47,self-employed,48,20,12,12,female,slightly liberal,86.900002,42.900002,
457,40,someone else,63,16,19,16,male,,92.300003,80.300003,56.599998
458,20,someone else,38,16,16,12,male,,38,63.5,63.5
459,,someone else,83,6,,,female,,22.5,,22.5
460,,someone else,87,9,2,3,female,conservative,33.099998,37.299999,29.200001
461,,someone else,26,12,,,male,,39.400002,,
462,,someone else,44,15,,,male,moderate,21.299999,28.4,22.5
463,,someone else,78,14,12,12,female,slightly liberal,54.200001,34.299999,
464,,someone else,67,,,,female,moderate,38.900002,29,
465,,someone else,63,14,,,female,,29.299999,,
466,40,someone else,21,13,12,16,female,slightly liberal,32.400002,33.200001,
467,40,someone else,42,14,5,,female,,36.5,52.400002,
468,,someone else,53,12,,8,male,,35.099998,,33.099998
469,,self-employed,55,6,6,,male,moderate,28.6,28.6,
470,,someone else,73,12,8,4,male,conservative,36.5,29.200001,
471,40,someone else,33,16,16,16,male,moderate,38.900002,80.300003,
472,,,24,14,16,16,female,moderate,,86,76.400002
473,,,52,14,12,,female,,,63.200001,
474,,someone else,70,18,9,12,female,,80.300003,,
475,,someone else,85,11,,,female,,38.400002,17.1,
476,24,someone else,72,14,,12,male,extremely liberal,57.099998,50.700001,
477,45,someone else,,12,,,female,,33.099998,29.200001,
478,,someone else,75,18,8,,male,,86,38.900002,
479,,self-employed,51,14,,,female,moderate,63.5,,
480,40,someone else,37,17,,12,female,,80.300003,,38.400002
481,,,67,8,,,female,,,,17.1
482,,someone else,64,18,8,6,male,liberal,39.400002,37.299999,
483,40,someone else,33,14,,12,female,moderate,29.299999,,
484,35,someone else,49,12,,,female,,83.900002,31.4,
485,55,someone else,47,12,,8,female,,29.299999,,
486,32,someone else,45,12,,8,female,,27.5,,
487,40,someone else,25,9,,,male,moderate,31.5,,
488,,self-employed,49,11,,,male,moderate,28.4,34.299999,
489,,,76,8,2,5,female,moderate,,37.299999,
490,,someone else,28,13,20,16,female,,38.400002,87,
491,,someone else,62,12,14,6,female,conservative,41.599998,64.099998,38
492,,someone else,43,12,,,female,moderate,25.299999,53.900002,38.900002
493,40,someone else,31,18,13,14,male,liberal,73.699997,50.700001,38.400002
494,40,self-employed,59,16,10,8,female,moderate,63.5,54.200001,
495,,someone else,67,13,14,13,female,moderate,64.800003,66.099998,38
496,,someone else,41,18,16,15,male,,63.5,63.5,
497,30,someone else,37,18,16,16,female,,81,63.5,
498,40,someone else,37,16,13,12,male,,67,50.700001,38.400002
499,17,someone else,35,16,16,14,female,conservative,64.199997,64.199997,35.400002
500,30,someone else,54,18,18,16,male,slghtly conservative,67,87.900002,53.299999
501,50,someone else,39,17,16,14,male,slghtly conservative,73.300003,64.099998,64.199997
502,20,someone else,47,12,16,12,female,slghtly conservative,71.599998,34.299999,
503,,someone else,35,14,,6,female,,33.099998,,27.700001
504,32,someone else,42,12,7,7,male,conservative,22.700001,50.700001,
505,35,someone else,48,16,,12,female,,69.199997,38.400002,22.5
506,40,someone else,31,12,3,3,male,extremely liberal,31.4,34.200001,27.700001
507,,someone else,37,13,,16,male,liberal,28.6,,37.700001
508,,someone else,40,14,12,12,female,,33.099998,76.400002,78.5
509,35,someone else,41,13,12,12,female,,60.599998,34.200001,50.700001
510,,someone else,55,15,12,5,male,slghtly conservative,53.900002,27.5,22.5
511,,someone else,51,14,4,8,male,liberal,34.299999,29.200001,25.299999
512,40,someone else,36,14,8,8,male,slghtly conservative,54.200001,28.6,54.200001
513,16,self-employed,63,12,12,10,female,,38.900002,32.299999,
514,,someone else,42,11,,5,female,liberal,33.599998,,37.299999
515,,someone else,39,11,8,8,female,,27.700001,27.700001,27.700001
516,43,someone else,33,14,12,12,female,,39.400002,53.400002,73.199997
517,,someone else,21,12,,8,female,moderate,33.099998,,
518,,self-employed,34,16,12,12,female,,84.699997,27.5,17.1
519,52,someone else,58,15,11,11,male,,48.599998,37.299999,
520,20,self-employed,62,16,8,2,male,slghtly conservative,82.699997,50.700001,
521,40,someone else,39,16,16,14,female,moderate,76.400002,92.800003,
522,40,someone else,61,20,8,14,male,slghtly conservative,85.099998,31.5,38.400002
523,60,someone else,28,16,,18,male,,63.5,,76.300003
524,60,someone else,34,19,,9,male,,92.300003,,29.299999
525,,someone else,53,19,12,16,female,,69.199997,50.700001,
526,35,someone else,50,16,,13,female,slightly liberal,69.199997,28.4,27.700001
527,12,someone else,43,20,12,12,male,,97.199997,63.5,50.700001
528,20,someone else,35,12,,12,female,,59,,
529,48,someone else,32,12,12,12,male,moderate,42.400002,33.099998,
530,40,someone else,55,18,10,12,female,,56.599998,63.5,
531,56,someone else,49,15,16,12,female,,73.199997,69.699997,29.299999
532,55,someone else,41,12,11,12,male,slghtly conservative,62.5,31.5,29.299999
533,,someone else,40,12,11,12,female,,35.400002,63.200001,38.400002
534,30,someone else,42,12,16,12,male,,34.200001,86.599998,
535,40,someone else,37,15,16,13,male,moderate,63.200001,63.5,36.5
536,44,someone else,36,14,12,12,male,conservative,45.799999,45.400002,
537,60,someone else,59,15,14,14,male,conservative,73.300003,73.300003,
538,72,someone else,50,16,9,18,male,,48.5,51,38.400002
539,,someone else,66,12,,8,female,liberal,26.700001,,22.5
540,42,someone else,32,12,,4,female,,69.199997,,
541,,someone else,37,18,,13,female,,33.099998,,38.400002
542,40,someone else,32,15,16,14,female,,63.200001,63.5,
543,30,self-employed,60,14,,12,male,,63.5,,63.5
544,50,someone else,32,14,14,12,male,,35.400002,63.5,36.5
545,40,someone else,45,18,12,12,female,liberal,38,30.200001,29.799999
546,60,someone else,37,19,12,12,male,liberal,92.300003,83.699997,38.900002
547,12,someone else,78,13,,,female,,38.400002,,
548,4,someone else,63,14,,,female,,33.099998,38.400002,
549,40,someone else,41,12,,0,female,conservative,52.400002,,
550,40,someone else,32,11,,12,male,moderate,37.5,,26.4
551,50,self-employed,55,18,9,12,male,,82.699997,63.5,
552,,someone else,70,20,8,12,male,,85.099998,50.700001,
553,55,someone else,60,13,12,12,female,moderate,65.800003,51.900002,
554,,someone else,46,16,12,12,female,,63.5,64.099998,
555,20,someone else,63,16,,12,female,,38,26.700001,
556,44,someone else,53,15,12,16,male,,86.599998,50.700001,78.5
557,,someone else,43,13,16,12,female,liberal,32.400002,50.700001,38.900002
558,50,someone else,33,16,16,12,male,slghtly conservative,73.800003,73.599998,
559,70,someone else,30,13,12,12,male,,,63.200001,35.400002
560,60,someone else,35,12,,12,female,,63.200001,,57.099998
561,,someone else,40,12,,,female,conservative,38.900002,,
562,40,self-employed,34,12,12,12,female,,33.099998,64.099998,81
563,,someone else,28,14,16,,male,,29.299999,81,
564,40,self-employed,76,12,10,12,female,moderate,33.099998,38.099998,
565,45,someone else,47,12,12,12,female,moderate,36.099998,37.299999,50.700001
566,35,someone else,24,14,,12,female,,39.599998,,26.4
567,,someone else,65,12,9,,male,,32.700001,32.700001,22.9
568,,someone else,50,12,10,12,female,extremely liberal,38.400002,31.5,
569,55,someone else,44,9,16,10,female,,34.799999,86.5,29.799999
570,,someone else,79,12,,12,female,,50.700001,38.099998,44.299999
571,40,someone else,28,14,8,12,female,,27.700001,28.6,38.5
572,,someone else,64,12,,10,male,slightly liberal,64.199997,,28.4
573,40,someone else,23,13,5,,male,,33.599998,,
574,40,someone else,37,12,,12,male,,59.099998,,38.400002
575,50,someone else,48,14,12,12,male,,32.299999,33.299999,26.700001
576,40,someone else,39,15,12,12,male,,37.200001,62.5,78.5
577,,someone else,77,9,,8,female,liberal,37.700001,,22.5
578,40,someone else,35,8,,,male,,35.099998,,
579,40,someone else,48,16,12,10,male,,63.5,39.400002,21.200001
580,40,someone else,50,12,8,12,female,liberal,64.099998,26.5,26.700001
581,54,someone else,48,12,12,12,female,,82.699997,36.5,36.5
582,,someone else,75,12,8,8,male,,45.400002,45.400002,60.599998
583,,someone else,25,12,,14,female,slghtly conservative,38.400002,,38.900002
584,42,someone else,45,12,8,12,male,,52.5,29.799999,37.700001
585,,someone else,62,12,,,female,,21.200001,45.900002,30.700001
586,,someone else,57,14,12,12,female,,31.4,63.200001,54.200001
587,44,someone else,30,12,3,4,male,conservative,31.5,27.5,27.700001
588,,someone else,32,14,,13,female,moderate,73.199997,,38
589,,someone else,67,6,4,4,male,,,37.299999,
590,,someone else,54,11,,,male,,21.200001,,
591,,someone else,62,14,10,10,female,moderate,36.5,,37.700001
592,40,someone else,33,12,,12,male,extremely liberal,29.4,36.5,
593,,someone else,67,12,12,,male,moderate,63.5,86.800003,
594,40,someone else,48,2,12,12,male,moderate,63.200001,52.400002,30.700001
595,30,someone else,24,12,,12,female,extrmly conservative,26.4,,43.700001
596,25,someone else,29,12,13,13,female,,41.599998,33.299999,26.4
597,,self-employed,73,16,12,,male,,63.200001,31.5,
598,,someone else,30,11,12,12,female,,33.099998,44.700001,
599,40,someone else,43,12,12,12,male,moderate,28.6,50.700001,58.099998
600,20,someone else,53,12,9,8,female,conservative,38.400002,32.299999,
601,2,someone else,59,16,8,8,male,conservative,54.200001,37.299999,
602,40,someone else,33,17,12,12,female,moderate,78.5,32.299999,74.400002
603,,someone else,48,12,6,6,female,slghtly conservative,62.200001,26.5,
604,,,67,12,12,11,female,,,37.299999,
605,50,someone else,56,18,12,13,male,conservative,90.099998,49.900002,
606,,someone else,66,12,3,11,female,,38.400002,37.299999,
607,50,someone else,54,18,16,14,male,,69.699997,,55.099998
608,,someone else,61,7,6,6,male,moderate,,37.299999,
609,,someone else,35,12,,12,female,,29.299999,,38.400002
610,,someone else,85,11,,12,female,,29.299999,38.5,22.700001
611,40,self-employed,73,12,,,female,,30.799999,37.299999,
612,,someone else,73,18,12,12,female,conservative,78.5,39.400002,22.5
613,45,someone else,46,18,12,12,female,moderate,82.699997,45.799999,38.400002
614,40,someone else,48,12,8,,male,moderate,29.4,29.4,
615,,someone else,31,12,0,0,female,,21.200001,28.6,
616,80,someone else,44,12,12,12,male,,31.5,37.299999,
617,75,someone else,37,15,14,13,male,slghtly conservative,50.700001,49.599998,54.200001
618,45,someone else,40,12,12,12,female,slightly liberal,62.5,44.700001,34.799999
619,45,self-employed,23,14,12,14,male,,26.5,37.299999,65.800003
620,,someone else,72,8,8,8,male,moderate,63.5,34.200001,
621,25,someone else,61,12,3,12,female,conservative,34.799999,37.299999,
622,,self-employed,56,11,12,12,female,moderate,31.5,37.299999,73.199997
623,45,someone else,30,12,11,14,male,,28.4,33.099998,
624,40,someone else,69,12,8,13,female,,63.5,50.700001,38.900002
625,42,someone else,48,12,8,,female,moderate,44.5,31.5,
626,50,someone else,22,12,14,14,male,,31.700001,65.800003,
627,20,someone else,27,16,,16,male,slightly liberal,33.900002,,73.199997
628,,someone else,20,10,,,male,conservative,37.599998,32.299999,
629,51,someone else,23,13,,12,male,,31.5,,33.099998
630,,someone else,25,9,,12,female,,37.400002,,63.5
631,,someone else,23,13,,16,male,moderate,,,39.599998
632,41,someone else,37,15,12,12,female,slightly liberal,27.5,78,53.299999
633,,self-employed,75,11,,8,male,,50.700001,,63.5
634,40,someone else,54,12,,5,female,,58.299999,,27.5
635,40,someone else,34,12,12,12,male,moderate,33.599998,33.900002,33.900002
636,44,someone else,61,16,12,12,female,moderate,37.400002,50.700001,50.700001
637,,someone else,80,13,12,,female,moderate,38.900002,65.800003,
638,,someone else,61,16,10,12,female,,73.199997,31.5,53.900002
639,,someone else,64,12,16,12,female,,30.700001,32.299999,
640,,someone else,29,13,14,14,female,,53.299999,32.299999,64.400002
641,,someone else,88,8,4,10,female,moderate,33.099998,37.299999,
642,40,someone else,46,2,,8,male,liberal,28.6,36.5,
643,66,someone else,25,9,12,,male,,37.900002,,
644,30,someone else,22,10,12,11,female,,33.099998,,32.400002
645,38,someone else,35,14,,8,female,,61.900002,,37.700001
646,,someone else,40,12,8,9,female,,63.200001,26.6,
647,,someone else,50,18,8,3,female,slghtly conservative,73.199997,48.5,
648,,someone else,50,4,,,male,,28.4,,
649,40,someone else,33,14,16,12,female,,29.299999,61.400002,33.099998
650,,someone else,66,9,2,3,female,,27.5,29.4,
651,50,self-employed,48,16,6,12,female,slghtly conservative,63.5,37.299999,
652,,someone else,73,12,,,female,,37.700001,37.299999,
653,20,someone else,48,12,12,12,female,,63.5,31.5,24.799999
654,45,someone else,46,12,16,12,male,moderate,39.5,85.099998,38.400002
655,,someone else,66,15,,10,female,,36.900002,,38.400002
656,,someone else,76,20,16,12,male,slghtly conservative,85.699997,87.400002,
657,40,someone else,24,16,20,16,male,slghtly conservative,86.5,85.099998,78.5
658,23,someone else,19,12,,14,male,,40,,73.199997
659,,someone else,66,12,8,8,female,,29.299999,63.5,29.299999
660,,someone else,75,14,8,8,female,moderate,71.599998,37.299999,26.700001
661,,someone else,80,8,3,7,male,moderate,63.5,37.299999,
662,,someone else,71,12,8,9,male,conservative,32.700001,34.200001,
663,,someone else,76,9,,,female,,32.400002,37.299999,
664,,,72,12,4,8,female,conservative,,29.4,
665,40,someone else,45,12,7,12,male,moderate,63.5,31.5,32.400002
666,,someone else,76,17,5,9,female,,80.300003,37.299999,38.400002
667,,someone else,76,16,8,0,male,,85.099998,29.200001,
668,,someone else,67,12,2,,female,liberal,38,37.299999,
669,40,someone else,49,18,12,8,female,moderate,64.400002,28.4,38.900002
670,,someone else,41,12,8,12,male,slightly liberal,29.200001,50.700001,
671,89,self-employed,35,14,,12,male,slghtly conservative,35.400002,37.299999,
672,30,someone else,59,12,12,12,female,slghtly conservative,33.099998,66.099998,
673,,someone else,67,12,8,12,male,slghtly conservative,31.5,26.5,
674,,,24,14,16,,male,,,80,33.099998
675,60,someone else,52,15,18,18,male,,73.300003,78.5,78.5
676,30,self-employed,40,16,12,15,female,,74.099998,49.900002,54.700001
677,,someone else,88,12,8,2,female,liberal,30.700001,40,
678,,someone else,78,12,6,6,male,slghtly conservative,61.900002,30.4,
679,30,someone else,24,15,16,,male,,58.299999,26.9,60.599998
680,45,self-employed,41,12,12,12,male,,50.700001,34.200001,
681,,someone else,46,14,18,18,female,,63.5,80.300003,64.400002
682,,someone else,68,16,12,12,female,conservative,73.199997,68.800003,73.199997
683,20,self-employed,56,16,14,12,female,,64.400002,64.099998,63.5
684,,someone else,57,18,12,12,female,,78.5,64.099998,
685,30,self-employed,48,20,16,16,male,liberal,97.199997,63.5,64.199997
686,40,someone else,45,16,11,12,female,slightly liberal,86.800003,65.800003,71.599998
687,40,someone else,39,16,12,12,female,slightly liberal,63.5,63.5,32.400002
688,50,someone else,51,14,10,12,male,conservative,32,35.099998,
689,24,someone else,24,12,16,,female,,41.599998,76.300003,
690,,someone else,23,13,10,11,female,,38.400002,26.5,33.099998
691,32,someone else,21,8,,,female,slightly liberal,37.400002,,
692,,someone else,65,12,,12,female,moderate,29.299999,63.5,
693,40,someone else,22,12,12,8,female,,54.700001,,
694,,someone else,57,14,18,12,female,moderate,28.4,,
695,,someone else,39,9,,,male,,40,,33.900002
696,50,someone else,25,16,16,16,male,moderate,50.700001,63.5,38.900002
697,50,someone else,46,13,12,13,male,moderate,62,53.400002,63.5
698,25,someone else,49,12,12,12,female,,33.900002,50.700001,
699,,someone else,71,11,,,female,,33.099998,26.5,
700,30,someone else,33,13,10,10,female,moderate,27.5,37.299999,
701,30,self-employed,44,14,6,8,female,,38,37.299999,
702,,someone else,78,2,,,male,,26.5,,
703,40,someone else,36,18,14,12,female,,80.300003,26.5,26.4
704,23,someone else,25,14,15,15,female,slightly liberal,29.1,27.700001,36.5
705,38,someone else,30,12,,12,male,conservative,36.5,34.200001,
706,40,someone else,34,12,0,0,male,,28.6,37.299999,
707,50,someone else,41,15,14,9,female,,73.599998,38.200001,32
708,48,someone else,43,12,8,8,male,,29.4,26.5,
709,20,someone else,35,12,,8,female,moderate,57.099998,32.299999,29.299999
710,40,someone else,21,13,12,10,male,extrmly conservative,29.200001,29.200001,29.4
711,39,someone else,60,14,,12,female,,62.5,,73.199997
712,20,someone else,33,12,,6,female,extremely liberal,42.299999,,29.299999
713,60,someone else,42,14,12,12,male,slghtly conservative,80.300003,63.5,38
714,50,someone else,35,16,7,13,male,moderate,63.5,64.099998,36.900002
715,36,someone else,44,12,6,10,female,,27.700001,30,33.099998
716,,someone else,22,13,12,12,female,,30.799999,33.200001,76.400002
717,,someone else,34,18,12,12,female,,56.599998,38.099998,38.400002
718,35,someone else,23,12,,13,female,moderate,33.099998,,29
719,50,someone else,35,14,16,12,female,,47,76.300003,27.5
720,,someone else,83,12,12,,female,,22.9,38.200001,
721,40,someone else,31,16,,13,male,,61.900002,,38.400002
722,40,someone else,34,20,16,8,female,,66.099998,38,
723,3,someone else,70,18,12,12,male,,78.5,63.5,
724,,someone else,55,16,,20,male,slghtly conservative,65.800003,,85.099998
725,25,someone else,44,13,16,14,female,,37.400002,65.800003,
726,48,someone else,41,15,8,8,male,,83.699997,63.5,
727,,,84,11,,,female,moderate,,,
728,39,someone else,25,14,,18,male,,60.5,,64.400002
729,,someone else,52,11,8,8,male,,31.5,50.200001,26.700001
730,,someone else,75,11,,,female,,32,,
731,,someone else,67,14,,12,female,moderate,38.900002,20.1,30.700001
732,25,someone else,86,11,0,8,male,moderate,37.599998,50.700001,
733,,,40,12,8,8,female,,,25.200001,25.200001
734,30,someone else,20,13,6,12,female,slghtly conservative,32.400002,31.5,34.799999
735,40,someone else,22,12,12,12,female,slightly liberal,,,
736,40,someone else,47,14,,,male,,45.799999,,27.5
737,40,someone else,29,14,12,12,female,,54.200001,34.200001,
738,56,someone else,57,14,10,11,female,conservative,68.099998,32.299999,29.299999
739,38,someone else,23,13,,9,female,,82.699997,,27.5
740,3,someone else,65,9,,,male,,28.6,37.299999,22.5
741,,someone else,62,13,,,male,,44.700001,,
742,52,someone else,39,13,6,9,male,liberal,44.700001,,17.1
743,5,self-employed,76,6,,,female,,22.5,,
744,40,someone else,62,14,9,10,female,conservative,63.5,28.6,
745,,someone else,60,12,12,12,female,,78,,
746,29,someone else,32,13,12,11,female,,27.5,26.700001,
747,38,someone else,27,10,12,8,female,slghtly conservative,33.099998,36.5,17.1
748,40,someone else,,13,,12,female,moderate,,,
749,48,someone else,36,12,8,6,male,slightly liberal,26.700001,32.299999,29.799999
750,28,someone else,30,14,12,18,female,,36.5,44.700001,80.300003
751,,someone else,75,6,,0,female,,22.5,,22.5
752,70,self-employed,53,16,,,male,liberal,63.200001,,
753,48,someone else,51,13,12,12,female,extrmly conservative,50.700001,50.700001,29
754,4,someone else,67,14,5,9,female,,22.5,28.4,
755,50,someone else,70,10,6,7,male,slghtly conservative,28.4,,25.299999
756,84,self-employed,46,14,16,18,female,,47,,73.199997
757,,someone else,68,16,12,16,female,moderate,78.5,85.099998,
758,65,someone else,53,14,8,12,male,,64.099998,76.400002,64.199997
759,,someone else,83,12,8,8,female,conservative,38.400002,35.099998,
760,40,someone else,65,16,16,16,female,extrmly conservative,85.099998,37.299999,
761,,someone else,75,15,8,8,female,,73.199997,37.299999,
762,,self-employed,84,16,16,2,male,,96,88.800003,
763,,someone else,64,15,16,16,female,,63.5,50.700001,
764,40,self-employed,38,16,16,16,male,slghtly conservative,64.099998,50.700001,
765,,self-employed,71,12,,8,female,moderate,26.4,,
766,,self-employed,84,2,11,13,female,slghtly conservative,92.300003,65.800003,
767,48,someone else,33,16,12,14,male,,64.099998,43.400002,38.400002
768,,someone else,75,17,4,12,female,,55.099998,73.300003,
769,34,someone else,35,16,,12,female,slghtly conservative,38.400002,,38.400002
770,,someone else,77,14,11,14,female,,63.5,37.299999,78.5
771,,someone else,27,16,12,13,female,conservative,57.099998,48.5,33.299999
772,,someone else,80,16,9,9,male,moderate,28.6,34.200001,
773,40,someone else,54,20,10,12,female,,64.400002,50.700001,40
774,,someone else,43,18,12,12,male,,63.5,63.5,
775,,someone else,65,16,8,8,male,,62.099998,37.299999,
776,35,someone else,50,16,16,18,female,liberal,38.900002,50.700001,78.5
777,38,someone else,57,18,12,16,female,slightly liberal,36.900002,45.799999,56.599998
778,40,someone else,50,13,6,14,female,,27.700001,42.5,43.700001
779,25,someone else,73,12,12,12,male,,35.099998,33.099998,
780,,someone else,71,12,,,female,,38.400002,34.200001,
781,,someone else,76,12,7,,female,conservative,40.099998,48.5,
782,55,someone else,46,9,8,,male,moderate,38.200001,35.700001,
783,45,someone else,32,9,12,10,male,,38.200001,72,29.299999
784,,someone else,62,14,8,8,male,,,36.400002,28.4
785,,someone else,71,12,16,13,female,liberal,33.299999,73.900002,37.299999
786,,someone else,71,12,,7,male,extremely liberal,33.599998,,27.700001
787,,someone else,71,15,6,6,female,,73.199997,50.700001,
788,,someone else,60,18,8,13,male,,63.5,26.5,38
789,,someone else,50,12,,12,female,,29.799999,,27.5
790,42,someone else,36,12,,12,female,moderate,54.200001,,32.400002
791,,someone else,25,13,12,13,female,,29.299999,29.4,48.5
792,22,someone else,21,11,12,12,female,,32.400002,48.5,
793,,someone else,64,14,0,0,male,conservative,21.1,26.5,
794,,someone else,73,6,,12,female,extremely liberal,18.5,50.200001,27.5
795,,self-employed,80,12,,8,female,,64.199997,38,
796,,someone else,71,13,,4,female,slghtly conservative,63.5,45.900002,22.5
797,,someone else,83,12,,,female,moderate,32,,29.299999
798,,someone else,89,11,,,female,,27.200001,34.200001,
799,,someone else,87,17,6,8,female,,27.5,29.200001,29.200001
800,,,67,12,9,11,female,,,31.5,
801,,someone else,73,12,8,,male,slghtly conservative,37.200001,37.299999,
802,50,someone else,49,19,12,13,female,,80.900002,27.700001,
803,,someone else,64,12,9,11,female,,50.700001,29.4,20.1
804,46,someone else,41,10,8,10,male,,48.5,37.299999,
805,,someone else,76,8,0,6,male,moderate,26.5,37.299999,17.1
806,16,someone else,46,18,8,12,male,moderate,85.699997,50.700001,27.5
807,44,someone else,34,14,12,12,male,,31.5,31.5,27.5
808,20,self-employed,50,14,16,14,male,extrmly conservative,31.4,62.5,38.400002
809,55,someone else,44,13,14,14,female,moderate,63.5,50.700001,38.400002
810,70,someone else,31,12,10,11,male,,36.5,31.5,32.400002
811,40,someone else,52,20,5,,female,slghtly conservative,69.199997,26.5,
812,20,someone else,70,12,,6,male,slghtly conservative,36.200001,,32
813,66,someone else,36,14,8,10,female,,62.200001,33.099998,21.200001
814,,someone else,52,10,,0,female,,48.5,,
815,,someone else,89,7,,0,female,moderate,26.700001,,26.5
816,27,someone else,28,13,14,12,female,moderate,26.700001,,33.099998
817,30,someone else,46,9,5,6,male,moderate,48.5,26.9,
818,45,someone else,56,12,7,9,female,,26.700001,36.5,
819,34,someone else,33,9,,,male,conservative,26.700001,,
820,60,self-employed,31,12,,,male,,28.6,,
821,49,someone else,42,10,,4,female,moderate,28.200001,,
822,40,someone else,59,12,10,10,male,conservative,41.599998,29.200001,33.099998
823,,,23,10,12,9,female,,,29.4,27.5
824,48,someone else,53,11,12,12,male,,36.5,26.5,20.1
825,53,someone else,21,14,14,12,male,slightly liberal,63.200001,73.199997,38.400002
826,,someone else,25,17,12,13,female,conservative,38.400002,30,29.299999
827,,someone else,38,12,10,8,male,conservative,17.1,36.5,32
828,60,someone else,54,16,12,14,male,,72,36.5,76.400002
829,,self-employed,34,19,,16,male,,29.200001,,88.699997
830,44,someone else,27,12,,9,male,moderate,62.200001,,32.400002
831,,self-employed,53,8,,7,male,,31.4,,
832,40,someone else,54,12,5,5,male,,29.200001,29.4,
833,60,self-employed,49,16,,,female,,76.400002,,
834,56,someone else,50,12,6,,female,slghtly conservative,26.700001,26.5,
835,40,someone else,31,11,12,12,male,liberal,45.200001,48.5,48.5
836,,someone else,64,12,8,8,female,,63.5,34.200001,27.700001
837,38,self-employed,37,12,4,12,male,slightly liberal,34.200001,63.5,17.1
838,,someone else,67,14,10,12,male,slghtly conservative,63.5,31.5,
839,45,someone else,55,10,,5,female,,29.4,,19.4
840,,someone else,33,10,,9,female,moderate,32.400002,,32.400002
841,20,someone else,23,16,10,12,female,,31.200001,29.200001,26.700001
842,40,someone else,37,14,10,14,male,,52.5,27.5,33.099998
843,45,someone else,30,11,,11,male,liberal,31.5,,33.099998
844,40,self-employed,28,13,6,11,female,conservative,33.099998,34.200001,25.299999
845,,someone else,60,15,12,5,female,moderate,63.200001,29.799999,17.1
846,,someone else,57,20,12,12,female,,78.5,34.200001,
847,40,someone else,57,17,,8,female,slightly liberal,64.199997,,
848,32,someone else,56,14,12,13,female,slghtly conservative,69.699997,50.700001,29.299999
849,30,someone else,54,12,12,8,male,,35.400002,,38.900002
850,,someone else,42,6,2,12,female,,33.099998,33.200001,36.900002
851,89,self-employed,43,15,9,12,female,,63.5,49.599998,
852,,someone else,57,14,,,male,conservative,63.5,,
853,,someone else,33,14,,,male,moderate,32.799999,,
854,40,someone else,39,8,,,female,,68.800003,,
855,64,someone else,41,12,,,male,conservative,28.200001,,32.400002
856,40,someone else,27,12,,12,female,moderate,39.400002,,32.400002
857,,self-employed,43,16,10,12,female,,38,37.299999,22.6
858,40,someone else,27,19,20,20,male,,66.099998,82.699997,
859,10,self-employed,36,16,18,16,male,,28.6,50.700001,
860,,someone else,51,16,16,14,female,moderate,65.800003,37.299999,38.900002
861,40,someone else,59,13,16,8,female,liberal,50.5,73.599998,38
862,10,self-employed,45,16,12,12,female,conservative,64.199997,38.099998,22.700001
863,80,someone else,44,17,17,12,male,,63.5,93.300003,73.199997
864,40,self-employed,41,15,16,15,male,liberal,63.5,49.900002,
865,61,someone else,20,12,18,16,female,,29.299999,74.400002,73.199997
866,25,someone else,28,20,20,20,male,,87,97.199997,87
867,30,self-employed,51,15,13,14,male,liberal,63.5,32.299999,
868,60,self-employed,32,15,9,12,male,,63.5,63.200001,
869,,someone else,34,18,20,16,male,,74.400002,90.300003,38.400002
870,44,someone else,49,14,12,11,female,,45.400002,53.900002,
871,,someone else,59,14,14,12,female,,69.699997,76.400002,38.400002
872,,someone else,69,8,8,8,male,moderate,31.5,37.299999,
873,37,someone else,34,8,,,male,slghtly conservative,28.4,,
874,40,someone else,50,16,16,13,female,,33.099998,85.099998,
875,40,someone else,48,13,14,12,female,,73.300003,63.5,73.199997
876,35,someone else,46,12,12,12,male,slghtly conservative,26.700001,63.5,50.700001
877,15,someone else,22,12,12,16,female,,34.799999,76.400002,73.199997
878,11,self-employed,34,12,,15,female,slghtly conservative,22.5,,22.5
879,42,someone else,28,13,13,16,male,slghtly conservative,63.5,50.700001,73.900002
880,45,someone else,31,13,20,12,male,,63.5,63.5,38.400002
881,,someone else,80,8,8,8,female,,29.299999,37.299999,
882,50,someone else,52,13,12,13,male,moderate,34.299999,37.299999,38.400002
