id,hrs1,wrkslf,age,educ,paeduc,maeduc,sex,polviews,sei,pasei,masei
100,40,someone else,44,13,12,12,female,moderate,43.5,28.6,22.5
101,,someone else,21,13,20,18,male,moderate,32.400002,64.199997,78.5
102,40,someone else,56,13,18,14,female,,37.700001,36.5,62.5
103,51,someone else,50,14,12,13,male,,31.5,34.200001,38.900002
104,40,someone else,52,13,14,12,female,,51.900002,42.299999,38.900002
105,,someone else,21,11,12,12,male,,29.200001,,32.400002
106,,someone else,25,17,12,12,female,,34.799999,70.5,53.099998
107,,someone else,70,12,12,8,male,,28.4,63.200001,
108,40,someone else,34,12,,,female,moderate,29.299999,,33.099998
109,,self-employed,68,14,10,11,male,moderate,33.900002,63.5,
110,,someone else,24,11,,12,female,,33.099998,,
111,35,someone else,27,12,,12,male,conservative,29.5,32.299999,
112,40,self-employed,38,2,,17,male,,45.900002,,84.699997
113,,someone else,56,11,,7,female,,28.4,,32.700001
114,36,someone else,47,12,16,12,female,slightly liberal,73.199997,64.099998,73.199997
115,,someone else,78,15,10,11,female,,60.5,39,
116,40,someone else,30,11,,11,male,moderate,28.4,,62.5
117,35,someone else,59,12,,12,female,,36.900002,,31.4
118,,someone else,71,12,8,8,female,,48.5,27.700001,29.1
119,,someone else,89,12,,3,female,,73.199997,37.299999,
120,,self-employed,55,12,,8,male,moderate,33.200001,,26.700001
121,,someone else,76,11,0,0,female,conservative,37.700001,29.200001,25.5
122,,someone else,84,11,8,8,female,,33.099998,29.799999,22.700001
123,,someone else,68,12,6,12,male,,36.900002,37.299999,
124,,someone else,78,12,,,male,slightly liberal,28.4,,
125,,someone else,71,2,,,female,moderate,30.700001,,
126,,someone else,65,15,12,10,female,slghtly conservative,68.099998,27.700001,17.1
127,40,someone else,26,15,12,13,female,,50.5,32.299999,51.900002
128,20,self-employed,43,16,16,12,male,,39.400002,86,38.900002
129,,,19,12,12,14,male,moderate,,57.099998,38.400002
130,,someone else,83,17,8,8,male,slightly liberal,63.5,37.200001,
131,50,someone else,35,20,17,14,male,,92.300003,92.800003,38.400002
132,40,someone else,31,16,12,12,female,,64.099998,45.400002,60.599998
133,45,someone else,38,13,12,12,female,moderate,68.099998,44.700001,19.4
134,,someone else,,12,12,11,female,moderate,36.900002,29.4,33.900002
135,60,self-employed,30,12,16,12,male,,62.099998,62.099998,38.400002
136,18,someone else,44,14,16,14,female,moderate,38.400002,92.800003,73.199997
137,40,someone else,51,13,12,8,female,,32,38,
138,,someone else,64,10,6,12,male,moderate,37.799999,36.400002,
139,,someone else,57,15,16,9,male,conservative,28.6,86,
140,,someone else,62,16,,16,female,liberal,36.900002,,32.400002
141,,someone else,52,14,12,12,female,,38.400002,44.700001,
142,66,someone else,41,12,8,12,male,,36.5,42.400002,
143,,someone else,66,16,,16,female,conservative,80.300003,,27.700001
144,,someone else,79,12,6,12,female,,30.700001,34.200001,
145,40,someone else,34,12,11,,female,,44.700001,32.299999,
146,,someone else,63,12,12,12,female,,38.400002,48.5,
147,10,someone else,63,12,12,10,female,slghtly conservative,36.5,44.700001,
148,,self-employed,38,12,11,10,female,,38.400002,27.700001,32.400002
149,,someone else,74,14,8,8,male,,78,36.400002,
150,,someone else,71,12,8,6,female,conservative,27.5,27.700001,
151,20,someone else,24,14,8,12,female,,32.400002,63.5,33.900002
152,50,someone else,24,17,12,12,male,slghtly conservative,50.5,30.1,
153,,someone else,50,18,14,14,male,conservative,83.699997,32.299999,
154,40,someone else,54,16,12,12,male,slightly liberal,64.099998,45.299999,38.400002
155,,someone else,70,13,12,12,female,,37.700001,63.5,
156,,someone else,81,12,8,0,male,,38.200001,52.299999,
157,40,someone else,38,12,,,male,,32.299999,,
158,,someone else,36,12,,15,female,moderate,22.700001,,43.700001
159,60,someone else,43,13,10,12,male,slghtly conservative,43.200001,45.900002,27.5
160,45,someone else,39,12,12,12,male,moderate,28.4,28.4,38.400002
161,62,someone else,27,12,1,1,male,,28.6,37.299999,
162,48,someone else,34,15,12,12,male,,34.200001,27.200001,37
163,,,79,12,10,9,female,,,36.5,27.5
164,,,84,12,8,8,female,moderate,,73.300003,
165,,someone else,71,15,,,male,moderate,48.5,36.5,
166,,someone else,22,9,12,,male,,31.299999,31.299999,
167,40,self-employed,36,16,12,14,female,,64.099998,32,36.5
168,40,someone else,44,12,8,16,female,liberal,41.599998,63.5,73.199997
169,,someone else,74,12,0,0,male,moderate,38.200001,42.200001,
170,37,someone else,63,16,12,3,male,conservative,37.700001,39.700001,
171,32,someone else,48,12,14,11,female,,68.099998,45.400002,
172,60,self-employed,39,16,16,17,male,,63.5,82.699997,78.5
173,18,someone else,40,14,12,14,female,,38.5,48.5,29.1
174,40,someone else,30,14,14,16,male,moderate,80,35.400002,
175,,someone else,36,12,,12,female,slghtly conservative,73.599998,,
176,52,someone else,42,15,12,14,female,moderate,63.5,54.5,73.199997
177,,someone else,70,16,13,12,female,,37.900002,63.5,
178,45,someone else,50,16,12,12,female,,50.700001,53.900002,63.5
179,40,someone else,38,16,,12,female,,73.199997,,38.400002
180,10,self-employed,53,20,10,12,female,extrmly conservative,82.699997,49.599998,
181,,someone else,36,18,,12,male,,59,,
182,56,someone else,45,14,15,16,male,moderate,50.299999,75.199997,
183,58,someone else,,17,18,18,female,moderate,37.400002,62.200001,37.700001
184,,someone else,22,12,12,14,male,slightly liberal,37.700001,27.5,73.199997
185,12,self-employed,70,16,16,13,female,slightly liberal,63.200001,73.800003,
186,,someone else,24,11,12,,male,moderate,29.1,28.6,
187,,someone else,,12,,,female,liberal,34.299999,,
188,,someone else,68,13,,13,female,slightly liberal,18.5,,27.700001
189,4,someone else,19,10,0,8,female,,,37.700001,
190,,someone else,24,13,12,13,female,,59,63.5,63.5
191,20,someone else,48,14,12,12,female,extremely liberal,22.5,27.5,38
192,,someone else,55,15,8,8,female,moderate,32.299999,26.5,25.4
193,40,someone else,51,16,12,12,male,,78.699997,28.4,
194,,someone else,71,16,13,12,male,,69.699997,32.700001,73.699997
195,70,someone else,45,13,,12,female,slightly liberal,44.200001,,73.300003
196,,someone else,82,13,12,16,male,,86.599998,63.5,27.5
197,50,someone else,46,12,10,12,female,,53.299999,31.5,38
198,60,someone else,35,13,,12,male,,31.5,,66.099998
199,24,self-employed,18,14,,15,male,,39.400002,,73.599998
200,,someone else,57,20,16,16,female,slghtly conservative,50.700001,80.300003,80.300003
201,30,someone else,23,2,,12,female,,38.400002,,33.099998
202,40,someone else,32,12,13,12,male,moderate,50.299999,,32.400002
203,64,someone else,28,18,18,16,female,liberal,84.699997,63.5,63.5
204,40,someone else,48,14,13,12,female,,63.200001,62,38.900002
205,60,someone else,39,17,9,9,male,,83.699997,38.200001,30.700001
206,16,someone else,27,16,,18,female,,78.5,,80.300003
207,20,someone else,,12,,,female,moderate,27.5,,
208,,someone else,57,14,,,male,moderate,32.299999,,32.400002
209,40,someone else,35,10,,,male,moderate,22.9,,
210,30,self-employed,29,16,18,18,female,,34.400002,76.400002,73.199997
211,40,someone else,33,9,12,13,male,,28.6,37.599998,66.099998
212,40,someone else,45,14,,10,female,liberal,42.299999,,29.299999
213,,someone else,74,13,,12,male,,49.900002,63.5,
214,,someone else,43,13,12,11,female,,33.299999,48.5,
215,40,someone else,46,14,16,14,female,,69.199997,52.5,
216,38,someone else,57,14,12,12,female,,32.400002,44.700001,50.700001
217,30,self-employed,40,14,15,15,female,moderate,76.300003,29.4,32.299999
218,,someone else,43,16,16,10,female,,73.300003,,
219,,self-employed,41,14,5,6,female,,83.699997,29.4,32.299999
220,40,self-employed,37,16,,16,male,conservative,63.5,,
221,55,someone else,22,14,12,12,male,,32.400002,63.5,38.400002
222,60,self-employed,50,15,18,13,male,,67,86.599998,
223,32,someone else,40,12,12,12,male,liberal,31.299999,29.200001,
224,40,someone else,32,11,12,12,male,moderate,50.700001,49.599998,73.199997
225,40,someone else,33,13,12,9,male,,43.400002,37.599998,22.5
226,27,self-employed,34,12,12,12,male,,44.700001,44.700001,
227,40,self-employed,57,14,6,6,male,slghtly conservative,29,37.299999,26.5
