year,id,wrkstat,hrs1,marital,sex,pres00,pres04,polviews,happy,health,abany,premarsx,pornlaw
2006,1,WORKING FULLTIME,35,NEVER MARRIED,FEMALE,GORE,KERRY,EXTREMELY LIBERAL,PRETTY HAPPY,FAIR,YES,,ILLEGAL TO ALL
2006,2,WORKING FULLTIME,40,NEVER MARRIED,MALE,,,SLIGHTLY LIBERAL,VERY HAPPY,,,NOT WRONG AT ALL,ILLEGAL UNDER 18
2006,3,RETIRED,,DIVORCED,FEMALE,,,CONSERVATIVE,PRETTY HAPPY,,,NOT WRONG AT ALL,ILLEGAL TO ALL
2006,4,WORKING PARTTIME,24,NEVER MARRIED,FEMALE,GORE,KERRY,SLIGHTLY LIBERAL,VERY HAPPY,EXCELLENT,YES,NOT WRONG AT ALL,
2006,5,SCHOOL,,NEVER MARRIED,MALE,,KERRY,LIBERAL,PRETTY HAPPY,GOOD,YES,NOT WRONG AT ALL,
2006,6,WORKING FULLTIME,37,MARRIED,FEMALE,GORE,,MODERATE,PRETTY HAPPY,,,NOT WRONG AT ALL,ILLEGAL TO ALL
2006,7,WORKING FULLTIME,40,WIDOWED,FEMALE,,,,PRETTY HAPPY,GOOD,YES,,ILLEGAL UNDER 18
2006,8,"UNEMPL, LAID OFF",,NEVER MARRIED,FEMALE,,KERRY,MODERATE,,FAIR,,,
2006,9,WORKING FULLTIME,38,NEVER MARRIED,FEMALE,,KERRY,CONSERVATIVE,PRETTY HAPPY,GOOD,YES,,ILLEGAL UNDER 18
2006,10,WORKING FULLTIME,35,NEVER MARRIED,FEMALE,GORE,BUSH,SLIGHTLY LIBERAL,VERY HAPPY,FAIR,YES,NOT WRONG AT ALL,
2006,11,RETIRED,,WIDOWED,FEMALE,BUSH,KERRY,MODERATE,NOT TOO HAPPY,GOOD,YES,,ILLEGAL UNDER 18
2006,12,OTHER,,NEVER MARRIED,MALE,,,MODERATE,PRETTY HAPPY,POOR,NO,,
2006,13,SCHOOL,,NEVER MARRIED,MALE,NADER,KERRY,MODERATE,NOT TOO HAPPY,EXCELLENT,YES,,ILLEGAL UNDER 18
2006,14,WORKING FULLTIME,43,DIVORCED,MALE,GORE,KERRY,MODERATE,PRETTY HAPPY,,,NOT WRONG AT ALL,ILLEGAL UNDER 18
2006,15,KEEPING HOUSE,,MARRIED,FEMALE,BUSH,BUSH,MODERATE,VERY HAPPY,,,ALWAYS WRONG,ILLEGAL TO ALL
2006,16,WORKING FULLTIME,40,NEVER MARRIED,FEMALE,,KERRY,LIBERAL,,EXCELLENT,,,
2006,17,RETIRED,,NEVER MARRIED,MALE,GORE,,SLGHTLY CONSERVATIVE,VERY HAPPY,GOOD,NO,,
2006,18,SCHOOL,,NEVER MARRIED,FEMALE,,,MODERATE,PRETTY HAPPY,,,NOT WRONG AT ALL,
2006,19,WORKING PARTTIME,28,NEVER MARRIED,FEMALE,,,MODERATE,PRETTY HAPPY,FAIR,NO,,ILLEGAL UNDER 18
2006,20,SCHOOL,,NEVER MARRIED,FEMALE,,KERRY,MODERATE,,EXCELLENT,,,
2006,21,WORKING FULLTIME,40,NEVER MARRIED,FEMALE,,,MODERATE,PRETTY HAPPY,,,SOMETIMES WRONG,ILLEGAL TO ALL
2006,22,RETIRED,,NEVER MARRIED,MALE,,,LIBERAL,NOT TOO HAPPY,GOOD,YES,,
2006,23,SCHOOL,,NEVER MARRIED,FEMALE,,KERRY,MODERATE,,FAIR,,,
2006,24,WORKING FULLTIME,50,NEVER MARRIED,MALE,,,LIBERAL,,FAIR,,,
2006,25,KEEPING HOUSE,,NEVER MARRIED,FEMALE,,KERRY,LIBERAL,,GOOD,,,
2006,26,OTHER,,NEVER MARRIED,MALE,,,MODERATE,,FAIR,,,
2006,27,KEEPING HOUSE,,MARRIED,FEMALE,,,SLIGHTLY LIBERAL,PRETTY HAPPY,POOR,YES,,ILLEGAL UNDER 18
2006,28,WORKING FULLTIME,37,NEVER MARRIED,MALE,,,MODERATE,,GOOD,,,
2006,29,RETIRED,,MARRIED,FEMALE,,,MODERATE,PRETTY HAPPY,GOOD,NO,,
2006,30,OTHER,,SEPARATED,MALE,,KERRY,EXTREMELY LIBERAL,,FAIR,,,
2006,31,WORKING FULLTIME,40,DIVORCED,FEMALE,,,MODERATE,PRETTY HAPPY,FAIR,YES,,ILLEGAL UNDER 18
2006,32,RETIRED,,SEPARATED,FEMALE,,,LIBERAL,,POOR,,,
2006,33,WORKING FULLTIME,40,MARRIED,FEMALE,,NADER,MODERATE,,POOR,,,
2006,34,WORKING PARTTIME,,DIVORCED,FEMALE,,,MODERATE,PRETTY HAPPY,EXCELLENT,NO,NOT WRONG AT ALL,
2006,35,WORKING FULLTIME,40,MARRIED,FEMALE,,,,VERY HAPPY,,,,ILLEGAL TO ALL
2006,36,WORKING PARTTIME,30,DIVORCED,FEMALE,,,MODERATE,,GOOD,,,
2006,37,WORKING PARTTIME,20,MARRIED,FEMALE,,,MODERATE,,GOOD,,,
2006,38,WORKING FULLTIME,40,MARRIED,MALE,,,MODERATE,PRETTY HAPPY,GOOD,NO,,
2006,39,WORKING FULLTIME,35,NEVER MARRIED,FEMALE,,,MODERATE,,GOOD,,,
2006,40,WORKING PARTTIME,20,SEPARATED,FEMALE,GORE,KERRY,LIBERAL,NOT TOO HAPPY,,,NOT WRONG AT ALL,ILLEGAL UNDER 18
2006,41,WORKING FULLTIME,55,NEVER MARRIED,FEMALE,,,MODERATE,PRETTY HAPPY,,,SOMETIMES WRONG,ILLEGAL UNDER 18
2006,42,WORKING FULLTIME,30,MARRIED,MALE,,,MODERATE,,FAIR,,,
2006,43,OTHER,,MARRIED,MALE,,,MODERATE,PRETTY HAPPY,,,NOT WRONG AT ALL,ILLEGAL TO ALL
2006,44,RETIRED,,WIDOWED,MALE,BUSH,BUSH,MODERATE,PRETTY HAPPY,,,SOMETIMES WRONG,ILLEGAL TO ALL
2006,45,KEEPING HOUSE,,NEVER MARRIED,FEMALE,,BUSH,MODERATE,,EXCELLENT,,,
2006,46,KEEPING HOUSE,,DIVORCED,FEMALE,,BUSH,SLGHTLY CONSERVATIVE,,EXCELLENT,,,
2006,47,RETIRED,,MARRIED,MALE,BUSH,BUSH,MODERATE,PRETTY HAPPY,,,ALWAYS WRONG,ILLEGAL UNDER 18
2006,48,WORKING FULLTIME,40,MARRIED,MALE,,BUSH,MODERATE,,GOOD,,,
2006,49,SCHOOL,,NEVER MARRIED,MALE,,,CONSERVATIVE,,GOOD,,,
2006,50,KEEPING HOUSE,,MARRIED,FEMALE,,KERRY,MODERATE,,FAIR,,,
2006,51,WORKING FULLTIME,40,NEVER MARRIED,FEMALE,,,MODERATE,PRETTY HAPPY,,,NOT WRONG AT ALL,ILLEGAL UNDER 18
2006,52,RETIRED,,WIDOWED,FEMALE,GORE,KERRY,MODERATE,PRETTY HAPPY,,,SOMETIMES WRONG,ILLEGAL UNDER 18
2006,53,KEEPING HOUSE,,MARRIED,FEMALE,GORE,DIDNT VOTE,SLIGHTLY LIBERAL,VERY HAPPY,EXCELLENT,YES,,ILLEGAL UNDER 18
2006,54,WORKING FULLTIME,55,NEVER MARRIED,FEMALE,GORE,BUSH,LIBERAL,VERY HAPPY,EXCELLENT,YES,,ILLEGAL UNDER 18
2006,55,WORKING FULLTIME,60,NEVER MARRIED,FEMALE,GORE,KERRY,LIBERAL,PRETTY HAPPY,,,NOT WRONG AT ALL,ILLEGAL UNDER 18
2006,56,RETIRED,,WIDOWED,FEMALE,GORE,KERRY,LIBERAL,PRETTY HAPPY,FAIR,YES,SOMETIMES WRONG,
2006,57,WORKING FULLTIME,40,NEVER MARRIED,MALE,,,SLIGHTLY LIBERAL,VERY HAPPY,EXCELLENT,,,ILLEGAL UNDER 18
2006,58,RETIRED,,MARRIED,FEMALE,GORE,KERRY,MODERATE,PRETTY HAPPY,GOOD,YES,SOMETIMES WRONG,
2006,59,WORKING FULLTIME,40,NEVER MARRIED,MALE,GORE,KERRY,LIBERAL,PRETTY HAPPY,FAIR,NO,,ILLEGAL UNDER 18
2006,60,WORKING FULLTIME,40,NEVER MARRIED,FEMALE,,KERRY,LIBERAL,,GOOD,,,
2006,61,WORKING FULLTIME,40,NEVER MARRIED,MALE,,,EXTREMELY LIBERAL,PRETTY HAPPY,,,NOT WRONG AT ALL,ILLEGAL UNDER 18
2006,62,WORKING FULLTIME,40,DIVORCED,MALE,,,,PRETTY HAPPY,EXCELLENT,,ALWAYS WRONG,
2006,63,WORKING FULLTIME,40,MARRIED,MALE,,,MODERATE,,GOOD,,,
2006,64,RETIRED,,MARRIED,MALE,,KERRY,MODERATE,,FAIR,,,
2006,65,WORKING PARTTIME,20,MARRIED,FEMALE,,,MODERATE,VERY HAPPY,,,ALMST ALWAYS WRG,ILLEGAL UNDER 18
2006,66,KEEPING HOUSE,,MARRIED,FEMALE,,,SLGHTLY CONSERVATIVE,VERY HAPPY,,,SOMETIMES WRONG,ILLEGAL TO ALL
2006,67,WORKING FULLTIME,35,DIVORCED,MALE,GORE,KERRY,MODERATE,PRETTY HAPPY,GOOD,,SOMETIMES WRONG,
2006,68,KEEPING HOUSE,,MARRIED,FEMALE,,KERRY,,VERY HAPPY,,,ALWAYS WRONG,ILLEGAL TO ALL
2006,69,KEEPING HOUSE,,MARRIED,FEMALE,BUSH,BUSH,MODERATE,PRETTY HAPPY,,,ALWAYS WRONG,
2006,70,WORKING FULLTIME,40,DIVORCED,MALE,,,MODERATE,PRETTY HAPPY,EXCELLENT,,,
2006,71,WORKING FULLTIME,40,MARRIED,MALE,,KERRY,LIBERAL,VERY HAPPY,,,,ILLEGAL UNDER 18
2006,72,RETIRED,,WIDOWED,FEMALE,,KERRY,LIBERAL,VERY HAPPY,FAIR,YES,,
2006,73,WORKING FULLTIME,,DIVORCED,MALE,,,,PRETTY HAPPY,,YES,,
2006,74,RETIRED,,MARRIED,MALE,,,MODERATE,PRETTY HAPPY,,,,ILLEGAL UNDER 18
2006,75,WORKING FULLTIME,40,MARRIED,MALE,,BUSH,SLGHTLY CONSERVATIVE,,GOOD,,,
2006,76,KEEPING HOUSE,,MARRIED,FEMALE,,,EXTRMLY CONSERVATIVE,PRETTY HAPPY,,,ALWAYS WRONG,ILLEGAL TO ALL
2006,77,WORKING PARTTIME,25,MARRIED,MALE,,,MODERATE,VERY HAPPY,,,ALMST ALWAYS WRG,ILLEGAL TO ALL
2006,78,RETIRED,,MARRIED,FEMALE,,,MODERATE,,POOR,,,
2006,79,SCHOOL,,DIVORCED,MALE,,KERRY,EXTREMELY LIBERAL,,GOOD,,,
2006,80,WORKING FULLTIME,40,SEPARATED,FEMALE,,,MODERATE,VERY HAPPY,,,NOT WRONG AT ALL,ILLEGAL TO ALL
2006,81,WORKING FULLTIME,40,MARRIED,MALE,BUSH,BUSH,CONSERVATIVE,PRETTY HAPPY,GOOD,YES,NOT WRONG AT ALL,
2006,82,WORKING FULLTIME,38,MARRIED,FEMALE,,KERRY,LIBERAL,,GOOD,,,
2006,83,OTHER,,NEVER MARRIED,FEMALE,,,MODERATE,PRETTY HAPPY,,,NOT WRONG AT ALL,LEGAL
2006,84,KEEPING HOUSE,,MARRIED,FEMALE,BUSH,BUSH,MODERATE,VERY HAPPY,GOOD,NO,ALMST ALWAYS WRG,
2006,85,RETIRED,,WIDOWED,MALE,,,LIBERAL,PRETTY HAPPY,,,ALWAYS WRONG,ILLEGAL TO ALL
2006,86,KEEPING HOUSE,,MARRIED,FEMALE,,,MODERATE,VERY HAPPY,EXCELLENT,NO,,
2006,87,KEEPING HOUSE,,WIDOWED,FEMALE,,BUSH,MODERATE,VERY HAPPY,,,SOMETIMES WRONG,ILLEGAL UNDER 18
2006,88,TEMP NOT WORKING,,MARRIED,FEMALE,,,SLIGHTLY LIBERAL,PRETTY HAPPY,GOOD,NO,,ILLEGAL UNDER 18
2006,89,WORKING PARTTIME,,NEVER MARRIED,MALE,BUSH,BUSH,EXTRMLY CONSERVATIVE,PRETTY HAPPY,GOOD,YES,SOMETIMES WRONG,
2006,90,"UNEMPL, LAID OFF",,NEVER MARRIED,FEMALE,,,MODERATE,PRETTY HAPPY,GOOD,NO,,ILLEGAL UNDER 18
2006,91,KEEPING HOUSE,,WIDOWED,FEMALE,,,MODERATE,PRETTY HAPPY,FAIR,NO,NOT WRONG AT ALL,
2006,92,WORKING FULLTIME,40,MARRIED,MALE,,KERRY,MODERATE,,GOOD,,,
2006,93,WORKING FULLTIME,48,MARRIED,MALE,,,MODERATE,VERY HAPPY,,,NOT WRONG AT ALL,ILLEGAL TO ALL
2006,94,RETIRED,,MARRIED,MALE,GORE,KERRY,SLIGHTLY LIBERAL,PRETTY HAPPY,POOR,YES,,LEGAL
2006,95,KEEPING HOUSE,,MARRIED,FEMALE,BUSH,KERRY,MODERATE,VERY HAPPY,GOOD,NO,NOT WRONG AT ALL,
2006,96,WORKING PARTTIME,35,MARRIED,FEMALE,BUSH,BUSH,CONSERVATIVE,PRETTY HAPPY,GOOD,NO,,ILLEGAL TO ALL
2006,97,WORKING FULLTIME,45,MARRIED,MALE,GORE,KERRY,SLIGHTLY LIBERAL,PRETTY HAPPY,GOOD,YES,,ILLEGAL UNDER 18
2006,98,WORKING FULLTIME,45,NEVER MARRIED,FEMALE,,,LIBERAL,PRETTY HAPPY,GOOD,YES,NOT WRONG AT ALL,
2006,99,WORKING FULLTIME,40,MARRIED,MALE,,,MODERATE,,EXCELLENT,,,
2006,100,WORKING FULLTIME,40,MARRIED,MALE,,,MODERATE,,FAIR,,,
2006,101,KEEPING HOUSE,,NEVER MARRIED,FEMALE,,,SLGHTLY CONSERVATIVE,PRETTY HAPPY,EXCELLENT,NO,SOMETIMES WRONG,
2006,102,SCHOOL,,NEVER MARRIED,FEMALE,,KERRY,MODERATE,,EXCELLENT,,,
2006,103,WORKING FULLTIME,35,NEVER MARRIED,FEMALE,,,CONSERVATIVE,NOT TOO HAPPY,,,SOMETIMES WRONG,ILLEGAL TO ALL
2006,104,WORKING FULLTIME,40,NEVER MARRIED,FEMALE,,,CONSERVATIVE,PRETTY HAPPY,FAIR,NO,ALWAYS WRONG,
2006,105,WORKING FULLTIME,40,NEVER MARRIED,MALE,,KERRY,MODERATE,VERY HAPPY,,,NOT WRONG AT ALL,ILLEGAL UNDER 18
2006,106,KEEPING HOUSE,,MARRIED,MALE,GORE,KERRY,SLIGHTLY LIBERAL,PRETTY HAPPY,,,SOMETIMES WRONG,ILLEGAL UNDER 18
2006,107,RETIRED,,NEVER MARRIED,FEMALE,,,SLIGHTLY LIBERAL,NOT TOO HAPPY,FAIR,NO,,ILLEGAL TO ALL
2006,108,RETIRED,,DIVORCED,FEMALE,GORE,KERRY,EXTREMELY LIBERAL,PRETTY HAPPY,,,NOT WRONG AT ALL,LEGAL
2006,109,WORKING FULLTIME,60,MARRIED,FEMALE,,,MODERATE,,FAIR,,,
2006,110,TEMP NOT WORKING,,MARRIED,MALE,GORE,KERRY,SLIGHTLY LIBERAL,PRETTY HAPPY,,,NOT WRONG AT ALL,ILLEGAL UNDER 18
2006,111,WORKING FULLTIME,70,MARRIED,FEMALE,,,LIBERAL,VERY HAPPY,GOOD,YES,NOT WRONG AT ALL,
2006,112,WORKING FULLTIME,42,NEVER MARRIED,MALE,,KERRY,MODERATE,VERY HAPPY,EXCELLENT,YES,NOT WRONG AT ALL,
2006,113,WORKING FULLTIME,50,NEVER MARRIED,MALE,,,MODERATE,VERY HAPPY,,,SOMETIMES WRONG,ILLEGAL UNDER 18
2006,114,WORKING FULLTIME,40,MARRIED,MALE,,,MODERATE,PRETTY HAPPY,GOOD,YES,,ILLEGAL UNDER 18
2006,115,WORKING PARTTIME,30,MARRIED,FEMALE,,,MODERATE,VERY HAPPY,,,SOMETIMES WRONG,ILLEGAL TO ALL
2006,116,OTHER,,MARRIED,FEMALE,,,MODERATE,,EXCELLENT,,,
2006,117,WORKING FULLTIME,40,NEVER MARRIED,FEMALE,,KERRY,LIBERAL,PRETTY HAPPY,,,NOT WRONG AT ALL,ILLEGAL UNDER 18
2006,118,"UNEMPL, LAID OFF",,NEVER MARRIED,FEMALE,BUSH,BUSH,SLGHTLY CONSERVATIVE,NOT TOO HAPPY,GOOD,NO,,ILLEGAL UNDER 18
2006,119,WORKING PARTTIME,24,WIDOWED,FEMALE,,,MODERATE,,FAIR,,,
2006,120,RETIRED,,WIDOWED,FEMALE,GORE,KERRY,MODERATE,PRETTY HAPPY,,,SOMETIMES WRONG,ILLEGAL UNDER 18
2006,121,RETIRED,,WIDOWED,FEMALE,,,MODERATE,,FAIR,,,
2006,122,WORKING FULLTIME,50,DIVORCED,FEMALE,,,SLGHTLY CONSERVATIVE,PRETTY HAPPY,GOOD,NO,ALMST ALWAYS WRG,
2006,123,WORKING FULLTIME,55,NEVER MARRIED,FEMALE,GORE,KERRY,MODERATE,PRETTY HAPPY,FAIR,NO,,ILLEGAL UNDER 18
2006,124,"UNEMPL, LAID OFF",,WIDOWED,MALE,,BUSH,MODERATE,,GOOD,,,
2006,125,RETIRED,,WIDOWED,MALE,BUSH,BUSH,CONSERVATIVE,NOT TOO HAPPY,GOOD,NO,NOT WRONG AT ALL,
2006,126,"UNEMPL, LAID OFF",,NEVER MARRIED,MALE,,KERRY,MODERATE,,GOOD,,,
2006,127,RETIRED,,SEPARATED,FEMALE,,BUSH,MODERATE,,FAIR,,,
2006,128,OTHER,,MARRIED,FEMALE,,BUSH,SLGHTLY CONSERVATIVE,,GOOD,,,
2006,129,WORKING FULLTIME,50,MARRIED,MALE,,BUSH,SLGHTLY CONSERVATIVE,PRETTY HAPPY,,,SOMETIMES WRONG,ILLEGAL TO ALL
2006,130,WORKING FULLTIME,25,MARRIED,FEMALE,,,SLIGHTLY LIBERAL,,EXCELLENT,,,
2006,131,WORKING FULLTIME,35,SEPARATED,MALE,GORE,KERRY,MODERATE,PRETTY HAPPY,EXCELLENT,YES,,ILLEGAL UNDER 18
2006,132,WORKING FULLTIME,40,MARRIED,MALE,,,CONSERVATIVE,PRETTY HAPPY,GOOD,NO,,ILLEGAL UNDER 18
2006,133,WORKING FULLTIME,80,MARRIED,MALE,,,CONSERVATIVE,PRETTY HAPPY,GOOD,NO,,ILLEGAL UNDER 18
2006,134,KEEPING HOUSE,,DIVORCED,FEMALE,,BUSH,MODERATE,,GOOD,,,
2006,135,WORKING FULLTIME,40,MARRIED,MALE,,,MODERATE,,EXCELLENT,,,
2006,136,WORKING FULLTIME,40,DIVORCED,MALE,,KERRY,LIBERAL,,GOOD,,,
2006,137,WORKING FULLTIME,55,MARRIED,MALE,GORE,KERRY,MODERATE,VERY HAPPY,GOOD,NO,SOMETIMES WRONG,
2006,138,WORKING FULLTIME,40,DIVORCED,FEMALE,,,LIBERAL,PRETTY HAPPY,,,NOT WRONG AT ALL,ILLEGAL UNDER 18
2006,139,WORKING FULLTIME,40,MARRIED,MALE,GORE,KERRY,MODERATE,PRETTY HAPPY,,,SOMETIMES WRONG,ILLEGAL UNDER 18
2006,140,"UNEMPL, LAID OFF",,MARRIED,MALE,,,MODERATE,,GOOD,,,
2006,141,WORKING FULLTIME,55,MARRIED,MALE,BUSH,BUSH,SLGHTLY CONSERVATIVE,PRETTY HAPPY,GOOD,YES,,ILLEGAL UNDER 18
2006,142,SCHOOL,,MARRIED,FEMALE,BUSH,BUSH,,VERY HAPPY,,,NOT WRONG AT ALL,ILLEGAL UNDER 18
2006,143,WORKING FULLTIME,50,MARRIED,MALE,GORE,KERRY,MODERATE,PRETTY HAPPY,EXCELLENT,NO,SOMETIMES WRONG,
2006,144,KEEPING HOUSE,,MARRIED,FEMALE,,,SLIGHTLY LIBERAL,,POOR,,,
2006,145,RETIRED,,WIDOWED,FEMALE,,,MODERATE,NOT TOO HAPPY,GOOD,YES,,ILLEGAL UNDER 18
2006,146,WORKING FULLTIME,38,NEVER MARRIED,FEMALE,BUSH,BUSH,EXTREMELY LIBERAL,VERY HAPPY,GOOD,NO,NOT WRONG AT ALL,
2006,147,WORKING FULLTIME,35,MARRIED,FEMALE,,BUSH,MODERATE,,EXCELLENT,,,
2006,148,WORKING FULLTIME,50,MARRIED,MALE,BUSH,BUSH,CONSERVATIVE,VERY HAPPY,GOOD,NO,ALMST ALWAYS WRG,
2006,149,WORKING FULLTIME,40,NEVER MARRIED,FEMALE,GORE,KERRY,MODERATE,PRETTY HAPPY,GOOD,NO,NOT WRONG AT ALL,
2006,150,WORKING FULLTIME,70,NEVER MARRIED,MALE,,KERRY,SLIGHTLY LIBERAL,,EXCELLENT,,,
2006,151,WORKING FULLTIME,35,MARRIED,FEMALE,,,SLGHTLY CONSERVATIVE,,FAIR,,,
2006,152,WORKING FULLTIME,45,NEVER MARRIED,MALE,,KERRY,SLIGHTLY LIBERAL,PRETTY HAPPY,GOOD,YES,NOT WRONG AT ALL,
2006,153,WORKING FULLTIME,60,MARRIED,MALE,,KERRY,MODERATE,,EXCELLENT,,,
2006,154,TEMP NOT WORKING,,MARRIED,FEMALE,BUSH,BUSH,EXTRMLY CONSERVATIVE,VERY HAPPY,EXCELLENT,NO,,ILLEGAL TO ALL
2006,155,WORKING FULLTIME,40,NEVER MARRIED,FEMALE,GORE,BUSH,SLIGHTLY LIBERAL,PRETTY HAPPY,GOOD,YES,,ILLEGAL UNDER 18
2006,156,WORKING FULLTIME,43,MARRIED,FEMALE,BUSH,BUSH,SLGHTLY CONSERVATIVE,VERY HAPPY,EXCELLENT,NO,,ILLEGAL UNDER 18
2006,157,WORKING FULLTIME,35,MARRIED,FEMALE,,NADER,MODERATE,,GOOD,,,
2006,158,WORKING FULLTIME,40,NEVER MARRIED,FEMALE,GORE,BUSH,SLGHTLY CONSERVATIVE,PRETTY HAPPY,,,,ILLEGAL UNDER 18
2006,159,WORKING FULLTIME,40,MARRIED,FEMALE,,BUSH,SLGHTLY CONSERVATIVE,,GOOD,,,
2006,160,WORKING FULLTIME,40,NEVER MARRIED,FEMALE,,,MODERATE,VERY HAPPY,,,NOT WRONG AT ALL,ILLEGAL UNDER 18
2006,161,WORKING FULLTIME,58,NEVER MARRIED,MALE,,BUSH,MODERATE,PRETTY HAPPY,,,NOT WRONG AT ALL,ILLEGAL UNDER 18
2006,162,WORKING FULLTIME,35,MARRIED,FEMALE,,,SLIGHTLY LIBERAL,PRETTY HAPPY,,,NOT WRONG AT ALL,ILLEGAL UNDER 18
2006,163,WORKING FULLTIME,35,MARRIED,FEMALE,,KERRY,SLIGHTLY LIBERAL,,GOOD,,,
2006,164,WORKING FULLTIME,40,NEVER MARRIED,MALE,BUSH,,MODERATE,PRETTY HAPPY,FAIR,NO,NOT WRONG AT ALL,
2006,165,WORKING FULLTIME,40,NEVER MARRIED,FEMALE,GORE,,SLGHTLY CONSERVATIVE,VERY HAPPY,,,ALWAYS WRONG,ILLEGAL TO ALL
2006,166,"UNEMPL, LAID OFF",,NEVER MARRIED,FEMALE,GORE,KERRY,LIBERAL,PRETTY HAPPY,GOOD,YES,ALWAYS WRONG,
2006,167,"UNEMPL, LAID OFF",,NEVER MARRIED,FEMALE,BUSH,BUSH,MODERATE,PRETTY HAPPY,EXCELLENT,YES,NOT WRONG AT ALL,
2006,168,WORKING FULLTIME,35,NEVER MARRIED,FEMALE,,KERRY,LIBERAL,,EXCELLENT,,,
2006,169,WORKING PARTTIME,20,MARRIED,MALE,GORE,KERRY,LIBERAL,VERY HAPPY,GOOD,YES,,ILLEGAL UNDER 18
2006,170,WORKING FULLTIME,50,SEPARATED,MALE,,KERRY,LIBERAL,,GOOD,,,
2006,171,WORKING FULLTIME,35,WIDOWED,FEMALE,,KERRY,LIBERAL,,GOOD,,,
2006,172,WORKING FULLTIME,35,MARRIED,FEMALE,,BUSH,MODERATE,,GOOD,,,
2006,173,WORKING FULLTIME,40,DIVORCED,FEMALE,BUSH,BUSH,MODERATE,NOT TOO HAPPY,GOOD,,,ILLEGAL UNDER 18
2006,174,WORKING FULLTIME,38,MARRIED,FEMALE,,BUSH,MODERATE,,GOOD,,,
2006,175,WORKING FULLTIME,40,NEVER MARRIED,FEMALE,,KERRY,SLIGHTLY LIBERAL,,EXCELLENT,,,
2006,176,WORKING PARTTIME,25,MARRIED,FEMALE,GORE,KERRY,MODERATE,PRETTY HAPPY,EXCELLENT,NO,NOT WRONG AT ALL,
2006,177,SCHOOL,,NEVER MARRIED,FEMALE,,,MODERATE,PRETTY HAPPY,EXCELLENT,YES,NOT WRONG AT ALL,
2006,178,RETIRED,,MARRIED,MALE,GORE,KERRY,SLGHTLY CONSERVATIVE,PRETTY HAPPY,FAIR,YES,SOMETIMES WRONG,
2006,179,WORKING FULLTIME,40,MARRIED,FEMALE,,BUSH,MODERATE,,EXCELLENT,,,
2006,180,WORKING FULLTIME,50,MARRIED,MALE,BUSH,BUSH,MODERATE,VERY HAPPY,GOOD,NO,,ILLEGAL UNDER 18
2006,181,RETIRED,,MARRIED,MALE,GORE,KERRY,SLIGHTLY LIBERAL,VERY HAPPY,,,NOT WRONG AT ALL,ILLEGAL UNDER 18
2006,182,RETIRED,,WIDOWED,FEMALE,BUSH,BUSH,MODERATE,VERY HAPPY,,,NOT WRONG AT ALL,ILLEGAL UNDER 18
2006,183,WORKING FULLTIME,40,MARRIED,MALE,,KERRY,MODERATE,PRETTY HAPPY,GOOD,,SOMETIMES WRONG,
2006,184,WORKING FULLTIME,34,SEPARATED,FEMALE,GORE,KERRY,LIBERAL,PRETTY HAPPY,EXCELLENT,YES,NOT WRONG AT ALL,
2006,185,WORKING FULLTIME,47,DIVORCED,FEMALE,,KERRY,SLIGHTLY LIBERAL,,GOOD,,,
2006,186,WORKING FULLTIME,89,MARRIED,MALE,GORE,KERRY,EXTREMELY LIBERAL,VERY HAPPY,EXCELLENT,YES,NOT WRONG AT ALL,
2006,187,KEEPING HOUSE,,MARRIED,FEMALE,,KERRY,LIBERAL,,EXCELLENT,,,
2006,188,RETIRED,,MARRIED,FEMALE,GORE,KERRY,MODERATE,PRETTY HAPPY,,,NOT WRONG AT ALL,ILLEGAL TO ALL
2006,189,WORKING FULLTIME,85,NEVER MARRIED,MALE,,BUSH,MODERATE,VERY HAPPY,EXCELLENT,YES,,ILLEGAL UNDER 18
2006,190,RETIRED,,NEVER MARRIED,FEMALE,BUSH,BUSH,CONSERVATIVE,VERY HAPPY,,,SOMETIMES WRONG,ILLEGAL TO ALL
2006,191,WORKING FULLTIME,48,MARRIED,FEMALE,,BUSH,SLGHTLY CONSERVATIVE,,FAIR,,,
2006,192,WORKING FULLTIME,38,MARRIED,FEMALE,,BUSH,SLGHTLY CONSERVATIVE,,GOOD,,,
2006,193,KEEPING HOUSE,,MARRIED,FEMALE,,,,NOT TOO HAPPY,FAIR,NO,NOT WRONG AT ALL,
2006,194,WORKING FULLTIME,60,MARRIED,MALE,,,MODERATE,VERY HAPPY,GOOD,NO,,
2006,195,RETIRED,,MARRIED,MALE,GORE,,MODERATE,PRETTY HAPPY,EXCELLENT,NO,ALWAYS WRONG,
2006,196,KEEPING HOUSE,,MARRIED,FEMALE,BUSH,BUSH,SLGHTLY CONSERVATIVE,PRETTY HAPPY,GOOD,NO,SOMETIMES WRONG,
2006,197,WORKING FULLTIME,55,NEVER MARRIED,MALE,BUSH,BUSH,CONSERVATIVE,PRETTY HAPPY,,,ALMST ALWAYS WRG,ILLEGAL UNDER 18
2006,198,RETIRED,,MARRIED,FEMALE,BUSH,BUSH,CONSERVATIVE,PRETTY HAPPY,FAIR,NO,,ILLEGAL UNDER 18
2006,199,KEEPING HOUSE,,MARRIED,FEMALE,GORE,BUSH,SLGHTLY CONSERVATIVE,VERY HAPPY,,,NOT WRONG AT ALL,ILLEGAL UNDER 18
