year,id,wrkstat,hrs1,marital,sex,pres00,pres04,polviews,happy,health,abany,premarsx,pornlaw
2006,2495,WORKING FULLTIME,35,NEVER MARRIED,FEMALE,,,MODERATE,VERY HAPPY,GOOD,NO,,ILLEGAL UNDER 18
2006,2496,WORKING FULLTIME,40,DIVORCED,FEMALE,GORE,KERRY,MODERATE,PRETTY HAPPY,,,ALWAYS WRONG,ILLEGAL UNDER 18
2006,2497,KEEPING HOUSE,,DIVORCED,FEMALE,,,MODERATE,NOT TOO HAPPY,,,ALWAYS WRONG,ILLEGAL TO ALL
2006,2498,RETIRED,,MARRIED,FEMALE,,KERRY,MODERATE,,GOOD,,,
2006,2499,RETIRED,,WIDOWED,FEMALE,GORE,KERRY,MODERATE,VERY HAPPY,GOOD,NO,,ILLEGAL TO ALL
2006,2500,KEEPING HOUSE,,MARRIED,FEMALE,GORE,KERRY,MODERATE,PRETTY HAPPY,,,ALWAYS WRONG,ILLEGAL TO ALL
2006,2501,KEEPING HOUSE,,MARRIED,FEMALE,GORE,DIDNT VOTE,MODERATE,VERY HAPPY,,,ALWAYS WRONG,ILLEGAL UNDER 18
2006,2502,WORKING FULLTIME,56,NEVER MARRIED,MALE,,,MODERATE,,GOOD,,,
2006,2503,WORKING FULLTIME,65,MARRIED,FEMALE,GORE,KERRY,LIBERAL,VERY HAPPY,GOOD,NO,,ILLEGAL UNDER 18
2006,2504,WORKING FULLTIME,35,DIVORCED,FEMALE,BUSH,BUSH,CONSERVATIVE,PRETTY HAPPY,EXCELLENT,NO,,
2006,2505,WORKING FULLTIME,62,MARRIED,MALE,BUSH,BUSH,SLGHTLY CONSERVATIVE,PRETTY HAPPY,FAIR,YES,,ILLEGAL UNDER 18
2006,2506,WORKING FULLTIME,60,NEVER MARRIED,FEMALE,GORE,KERRY,MODERATE,PRETTY HAPPY,,,NOT WRONG AT ALL,ILLEGAL UNDER 18
2006,2507,WORKING FULLTIME,40,MARRIED,FEMALE,GORE,KERRY,SLGHTLY CONSERVATIVE,PRETTY HAPPY,,,SOMETIMES WRONG,ILLEGAL UNDER 18
2006,2508,RETIRED,,NEVER MARRIED,MALE,BUSH,KERRY,SLGHTLY CONSERVATIVE,VERY HAPPY,GOOD,YES,NOT WRONG AT ALL,
2006,2509,WORKING FULLTIME,40,DIVORCED,FEMALE,GORE,KERRY,SLIGHTLY LIBERAL,PRETTY HAPPY,GOOD,YES,,ILLEGAL UNDER 18
2006,2510,WORKING FULLTIME,40,MARRIED,FEMALE,GORE,KERRY,LIBERAL,VERY HAPPY,EXCELLENT,YES,,ILLEGAL UNDER 18
2006,2511,WORKING FULLTIME,10,MARRIED,FEMALE,,,MODERATE,PRETTY HAPPY,EXCELLENT,YES,,ILLEGAL UNDER 18
2006,2512,WORKING FULLTIME,40,MARRIED,MALE,,KERRY,MODERATE,,GOOD,,,
2006,2513,WORKING FULLTIME,43,MARRIED,FEMALE,,BUSH,EXTRMLY CONSERVATIVE,,FAIR,,,
2006,2514,WORKING FULLTIME,40,DIVORCED,MALE,GORE,,SLIGHTLY LIBERAL,PRETTY HAPPY,FAIR,YES,,ILLEGAL UNDER 18
2006,2515,WORKING FULLTIME,36,MARRIED,MALE,GORE,KERRY,SLGHTLY CONSERVATIVE,VERY HAPPY,,,NOT WRONG AT ALL,ILLEGAL UNDER 18
2006,2516,KEEPING HOUSE,,NEVER MARRIED,FEMALE,,KERRY,MODERATE,PRETTY HAPPY,EXCELLENT,NO,ALWAYS WRONG,
2006,2517,WORKING FULLTIME,38,NEVER MARRIED,MALE,,,SLIGHTLY LIBERAL,,GOOD,,,
2006,2518,WORKING FULLTIME,48,NEVER MARRIED,FEMALE,GORE,KERRY,SLGHTLY CONSERVATIVE,PRETTY HAPPY,EXCELLENT,NO,ALWAYS WRONG,
2006,2519,WORKING PARTTIME,5,NEVER MARRIED,MALE,GORE,KERRY,LIBERAL,NOT TOO HAPPY,GOOD,YES,NOT WRONG AT ALL,
2006,2520,WORKING FULLTIME,20,NEVER MARRIED,MALE,GORE,KERRY,LIBERAL,PRETTY HAPPY,EXCELLENT,YES,NOT WRONG AT ALL,
2006,2521,WORKING PARTTIME,10,MARRIED,FEMALE,,KERRY,LIBERAL,,GOOD,,,
2006,2522,WORKING FULLTIME,50,MARRIED,MALE,,BUSH,EXTRMLY CONSERVATIVE,,EXCELLENT,,,
2006,2523,KEEPING HOUSE,,MARRIED,FEMALE,,BUSH,MODERATE,,GOOD,,,
2006,2524,WORKING PARTTIME,20,NEVER MARRIED,MALE,,,EXTREMELY LIBERAL,,GOOD,,,
2006,2525,RETIRED,,DIVORCED,MALE,,BUSH,MODERATE,,POOR,,,
